id,user_email,family_size,house_type,resident_name,house_no,apartment_name,flat_no,street,landmark,ward_number,local_body,district,pincode,milk_packets,deliveries,oil_type,bottles,segregation,hks_frequency,receipt
15,user2@gmail.com,2-3,Large house,Resident_2,77/2,,,Main Road,Near School,Ward 9,Municipality,Kottayam,687603,1,19,Plastic bottle,None,Sometimes,Every 2-3 months,No
16,user3@gmail.com,4-5,Small house,Resident_3,6/12,,,Main Road,Near School,Ward 5,Municipality,Malappuram,670116,4,17,Plastic packet,4-7,Always,Every month,Yes
17,user4@gmail.com,4-5,Large house,Resident_4,87/14,,,Main Road,Near School,Ward 8,Municipality,Malappuram,686368,4,7,Loose / refill,None,Never,Every 2-3 months,No
18,user5@gmail.com,4-5,Large house,Resident_5,313/19,,,Main Road,Near School,Ward 6,Municipality,Kannur,676781,4,9,Plastic bottle,7+,Never,Every 2-3 months,Yes
19,user6@gmail.com,2-3,Apartment,Resident_6,402/3,,,Main Road,Near School,Ward 11,Municipality,Pathanamthitta,671605,1,5,Plastic packet,None,Always,Every 2-3 months,Yes
20,user7@gmail.com,2-3,Apartment,Resident_7,266/15,,,Main Road,Near School,Ward 7,Municipality,Kasaragod,684542,2,16,Loose / refill,7+,Sometimes,Never,No
21,user8@gmail.com,2-3,Large house,Resident_8,351/8,,,Main Road,Near School,Ward 14,Municipality,Thrissur,677125,3,2,Plastic bottle,None,Sometimes,Never,Yes
22,user9@gmail.com,4-5,Apartment,Resident_9,51/19,,,Main Road,Near School,Ward 1,Municipality,Idukki,682703,3,18,Plastic packet,1-3,Sometimes,Every month,No
23,user10@gmail.com,1,Large house,Resident_10,425/19,,,Main Road,Near School,Ward 19,Municipality,Idukki,677209,0,12,Loose / refill,None,Always,Every month,No
24,user11@gmail.com,6+,Apartment,Resident_11,235/14,,,Main Road,Near School,Ward 10,Municipality,Kollam,676786,6,9,Plastic packet,7+,Never,Never,No
25,user12@gmail.com,4-5,Large house,Resident_12,344/2,,,Main Road,Near School,Ward 9,Municipality,Wayanad,682889,3,9,Plastic packet,1-3,Never,Never,Yes
26,user13@gmail.com,2-3,Apartment,Resident_13,66/14,,,Main Road,Near School,Ward 2,Municipality,Kottayam,673434,3,20,Plastic packet,None,Sometimes,Rarely,Yes
27,user14@gmail.com,4-5,Large house,Resident_14,489/19,,,Main Road,Near School,Ward 17,Municipality,Pathanamthitta,678839,3,19,Plastic bottle,None,Sometimes,Every month,No
28,user15@gmail.com,4-5,Large house,Resident_15,252/11,,,Main Road,Near School,Ward 15,Municipality,Thiruvananthapuram,670401,3,8,Plastic packet,7+,Sometimes,Never,No
29,user16@gmail.com,4-5,Large house,Resident_16,234/5,,,Main Road,Near School,Ward 12,Municipality,Kozhikode,684891,4,18,Loose / refill,1-3,Sometimes,Every month,Yes
30,user17@gmail.com,2-3,Large house,Resident_17,14/4,,,Main Road,Near School,Ward 8,Municipality,Alappuzha,688508,1,2,Plastic packet,4-7,Sometimes,Every month,Yes
31,user18@gmail.com,2-3,Small house,Resident_18,458/6,,,Main Road,Near School,Ward 14,Municipality,Malappuram,689286,3,6,Plastic bottle,4-7,Sometimes,Every 2-3 months,Yes
32,user19@gmail.com,2-3,Large house,Resident_19,276/6,,,Main Road,Near School,Ward 19,Municipality,Wayanad,688964,1,17,Plastic bottle,4-7,Sometimes,Rarely,Yes
33,user20@gmail.com,4-5,Small house,Resident_20,350/18,,,Main Road,Near School,Ward 25,Municipality,Ernakulam,672202,4,3,Plastic bottle,1-3,Always,Every month,No
34,user21@gmail.com,1,Small house,Resident_21,326/4,,,Main Road,Near School,Ward 10,Municipality,Alappuzha,681567,0,12,Plastic packet,1-3,Always,Every month,Yes
35,user22@gmail.com,2-3,Apartment,Resident_22,19/5,,,Main Road,Near School,Ward 19,Municipality,Idukki,671607,2,12,Plastic packet,None,Always,Rarely,No
36,user23@gmail.com,2-3,Small house,Resident_23,166/11,,,Main Road,Near School,Ward 18,Municipality,Wayanad,678822,2,8,Loose / refill,None,Never,Every month,Yes
37,user24@gmail.com,2-3,Large house,Resident_24,283/10,,,Main Road,Near School,Ward 16,Municipality,Idukki,677245,2,15,Loose / refill,4-7,Never,Every 2-3 months,No
38,user25@gmail.com,4-5,Apartment,Resident_25,233/16,,,Main Road,Near School,Ward 6,Municipality,Malappuram,683309,4,13,Plastic bottle,4-7,Always,Rarely,No
39,user26@gmail.com,2-3,Apartment,Resident_26,394/7,,,Main Road,Near School,Ward 17,Municipality,Kozhikode,676971,2,8,Plastic packet,7+,Never,Every month,No
40,user27@gmail.com,4-5,Apartment,Resident_27,319/6,,,Main Road,Near School,Ward 20,Municipality,Ernakulam,671746,4,6,Plastic packet,7+,Sometimes,Every month,Yes
41,user28@gmail.com,1,Small house,Resident_28,390/9,,,Main Road,Near School,Ward 12,Municipality,Kollam,675168,1,16,Loose / refill,None,Always,Every month,No
42,user29@gmail.com,6+,Small house,Resident_29,13/3,,,Main Road,Near School,Ward 17,Municipality,Kottayam,678131,3,8,Plastic packet,7+,Always,Never,No
43,user30@gmail.com,6+,Small house,Resident_30,61/7,,,Main Road,Near School,Ward 8,Municipality,Malappuram,673119,5,2,Loose / refill,1-3,Sometimes,Never,No
44,user31@gmail.com,2-3,Large house,Resident_31,75/8,,,Main Road,Near School,Ward 18,Municipality,Kozhikode,682545,2,2,Plastic packet,None,Never,Every 2-3 months,Yes
45,user32@gmail.com,2-3,Apartment,Resident_32,434/17,,,Main Road,Near School,Ward 19,Municipality,Idukki,680999,3,18,Plastic bottle,4-7,Never,Never,Yes
46,user33@gmail.com,4-5,Large house,Resident_33,440/6,,,Main Road,Near School,Ward 17,Municipality,Kasaragod,672007,4,19,Plastic bottle,1-3,Never,Every 2-3 months,Yes
47,user34@gmail.com,4-5,Small house,Resident_34,40/10,,,Main Road,Near School,Ward 1,Municipality,Kasaragod,679870,3,8,Loose / refill,1-3,Never,Every 2-3 months,Yes
48,user35@gmail.com,2-3,Apartment,Resident_35,19/8,,,Main Road,Near School,Ward 21,Municipality,Thiruvananthapuram,681917,2,11,Plastic packet,4-7,Never,Every 2-3 months,No
49,user36@gmail.com,1,Apartment,Resident_36,419/12,,,Main Road,Near School,Ward 23,Municipality,Thiruvananthapuram,670645,1,6,Loose / refill,None,Always,Never,Yes
50,user37@gmail.com,4-5,Large house,Resident_37,212/19,,,Main Road,Near School,Ward 21,Municipality,Kannur,688939,2,18,Loose / refill,4-7,Never,Every 2-3 months,No
51,user38@gmail.com,4-5,Small house,Resident_38,186/5,,,Main Road,Near School,Ward 12,Municipality,Alappuzha,684688,2,20,Plastic bottle,4-7,Sometimes,Never,No
52,user39@gmail.com,6+,Small house,Resident_39,358/1,,,Main Road,Near School,Ward 1,Municipality,Palakkad,675525,4,8,Plastic packet,4-7,Always,Every month,No
53,user40@gmail.com,2-3,Apartment,Resident_40,222/4,,,Main Road,Near School,Ward 3,Municipality,Idukki,683477,1,16,Plastic bottle,7+,Always,Every 2-3 months,Yes
54,user41@gmail.com,2-3,Large house,Resident_41,421/19,,,Main Road,Near School,Ward 1,Municipality,Kozhikode,684664,2,19,Loose / refill,4-7,Sometimes,Every 2-3 months,No
55,user42@gmail.com,4-5,Large house,Resident_42,214/7,,,Main Road,Near School,Ward 24,Municipality,Malappuram,684786,4,10,Plastic bottle,4-7,Always,Every 2-3 months,Yes
56,user43@gmail.com,1,Apartment,Resident_43,342/4,,,Main Road,Near School,Ward 23,Municipality,Thrissur,688340,1,20,Plastic packet,None,Sometimes,Every month,Yes
57,user44@gmail.com,2-3,Small house,Resident_44,158/12,,,Main Road,Near School,Ward 18,Municipality,Thrissur,682549,3,13,Plastic bottle,1-3,Always,Every month,No
58,user45@gmail.com,2-3,Apartment,Resident_45,466/1,,,Main Road,Near School,Ward 9,Municipality,Thiruvananthapuram,686606,3,15,Plastic packet,None,Never,Rarely,Yes
59,user46@gmail.com,2-3,Apartment,Resident_46,312/8,,,Main Road,Near School,Ward 16,Municipality,Malappuram,681227,1,3,Loose / refill,None,Sometimes,Never,No
60,user47@gmail.com,2-3,Large house,Resident_47,262/8,,,Main Road,Near School,Ward 3,Municipality,Idukki,672825,3,17,Plastic packet,4-7,Always,Every month,No
61,user48@gmail.com,2-3,Apartment,Resident_48,141/1,,,Main Road,Near School,Ward 19,Municipality,Kozhikode,677716,2,10,Loose / refill,None,Never,Rarely,No
62,user49@gmail.com,2-3,Small house,Resident_49,51/17,,,Main Road,Near School,Ward 22,Municipality,Pathanamthitta,684089,1,3,Plastic packet,4-7,Sometimes,Every month,Yes
63,user50@gmail.com,6+,Large house,Resident_50,197/14,,,Main Road,Near School,Ward 6,Municipality,Kasaragod,672035,6,16,Plastic bottle,1-3,Always,Every month,No
64,user51@gmail.com,4-5,Apartment,Resident_51,450/7,,,Main Road,Near School,Ward 7,Municipality,Palakkad,688036,3,2,Loose / refill,1-3,Sometimes,Rarely,Yes
65,user52@gmail.com,4-5,Apartment,Resident_52,248/18,,,Main Road,Near School,Ward 16,Municipality,Malappuram,676043,2,18,Plastic packet,7+,Sometimes,Every 2-3 months,No
66,user53@gmail.com,4-5,Apartment,Resident_53,487/17,,,Main Road,Near School,Ward 9,Municipality,Thiruvananthapuram,685314,2,16,Loose / refill,None,Always,Rarely,No
67,user54@gmail.com,1,Apartment,Resident_54,293/20,,,Main Road,Near School,Ward 19,Municipality,Malappuram,678344,0,18,Plastic packet,7+,Never,Rarely,No
68,user55@gmail.com,2-3,Large house,Resident_55,296/17,,,Main Road,Near School,Ward 10,Municipality,Thrissur,683361,3,2,Loose / refill,4-7,Never,Every 2-3 months,No
69,user56@gmail.com,4-5,Apartment,Resident_56,287/16,,,Main Road,Near School,Ward 16,Municipality,Kollam,674548,4,12,Plastic packet,4-7,Always,Every month,Yes
70,user57@gmail.com,6+,Small house,Resident_57,122/12,,,Main Road,Near School,Ward 4,Municipality,Palakkad,680126,5,6,Plastic packet,7+,Never,Rarely,Yes
71,user58@gmail.com,2-3,Apartment,Resident_58,241/9,,,Main Road,Near School,Ward 2,Municipality,Thrissur,683711,3,10,Plastic packet,1-3,Always,Every month,No
72,user59@gmail.com,4-5,Small house,Resident_59,328/14,,,Main Road,Near School,Ward 5,Municipality,Ernakulam,676511,2,8,Loose / refill,None,Sometimes,Never,Yes
73,user60@gmail.com,6+,Small house,Resident_60,418/8,,,Main Road,Near School,Ward 22,Municipality,Alappuzha,678832,4,18,Loose / refill,1-3,Sometimes,Rarely,No
74,user61@gmail.com,4-5,Large house,Resident_61,480/19,,,Main Road,Near School,Ward 1,Municipality,Kannur,681096,3,6,Loose / refill,7+,Never,Rarely,No
75,user62@gmail.com,2-3,Small house,Resident_62,222/6,,,Main Road,Near School,Ward 16,Municipality,Thrissur,671012,2,13,Loose / refill,4-7,Never,Rarely,Yes
76,user63@gmail.com,6+,Small house,Resident_63,329/5,,,Main Road,Near School,Ward 3,Municipality,Wayanad,680943,4,6,Loose / refill,None,Always,Every month,No
77,user64@gmail.com,2-3,Apartment,Resident_64,24/9,,,Main Road,Near School,Ward 8,Municipality,Kottayam,689534,1,15,Plastic packet,4-7,Sometimes,Every 2-3 months,No
78,user65@gmail.com,2-3,Large house,Resident_65,372/7,,,Main Road,Near School,Ward 19,Municipality,Ernakulam,675417,3,11,Plastic bottle,None,Never,Every month,Yes
79,user66@gmail.com,1,Apartment,Resident_66,433/20,,,Main Road,Near School,Ward 17,Municipality,Thrissur,678633,0,16,Plastic packet,7+,Always,Every month,No
80,user67@gmail.com,6+,Apartment,Resident_67,91/8,,,Main Road,Near School,Ward 5,Municipality,Pathanamthitta,677300,3,20,Plastic packet,1-3,Always,Every month,No
81,user68@gmail.com,2-3,Apartment,Resident_68,296/16,,,Main Road,Near School,Ward 6,Municipality,Palakkad,675392,1,11,Plastic bottle,4-7,Always,Every 2-3 months,Yes
82,user69@gmail.com,6+,Apartment,Resident_69,9/20,,,Main Road,Near School,Ward 4,Municipality,Thiruvananthapuram,674045,5,13,Plastic packet,1-3,Always,Rarely,No
83,user70@gmail.com,6+,Apartment,Resident_70,245/9,,,Main Road,Near School,Ward 5,Municipality,Kozhikode,672368,5,5,Plastic bottle,1-3,Always,Never,No
84,user71@gmail.com,2-3,Small house,Resident_71,217/10,,,Main Road,Near School,Ward 1,Municipality,Palakkad,680274,1,7,Plastic bottle,4-7,Sometimes,Never,No
85,user72@gmail.com,4-5,Small house,Resident_72,139/4,,,Main Road,Near School,Ward 18,Municipality,Kannur,678572,3,16,Plastic bottle,4-7,Always,Never,Yes
86,user73@gmail.com,4-5,Apartment,Resident_73,308/16,,,Main Road,Near School,Ward 7,Municipality,Palakkad,671885,3,18,Plastic packet,7+,Sometimes,Every month,Yes
87,user74@gmail.com,4-5,Apartment,Resident_74,498/10,,,Main Road,Near School,Ward 18,Municipality,Kollam,678209,2,2,Plastic packet,4-7,Never,Never,Yes
88,user75@gmail.com,1,Small house,Resident_75,309/6,,,Main Road,Near School,Ward 24,Municipality,Palakkad,674593,1,20,Plastic packet,1-3,Never,Never,No
89,user76@gmail.com,2-3,Apartment,Resident_76,209/5,,,Main Road,Near School,Ward 4,Municipality,Alappuzha,680562,3,12,Loose / refill,1-3,Sometimes,Every 2-3 months,No
90,user77@gmail.com,4-5,Small house,Resident_77,41/19,,,Main Road,Near School,Ward 14,Municipality,Kottayam,670428,2,5,Loose / refill,7+,Sometimes,Never,No
91,user78@gmail.com,6+,Apartment,Resident_78,135/18,,,Main Road,Near School,Ward 14,Municipality,Wayanad,683928,4,3,Plastic packet,7+,Sometimes,Rarely,No
92,user79@gmail.com,2-3,Small house,Resident_79,387/9,,,Main Road,Near School,Ward 19,Municipality,Alappuzha,671846,1,11,Plastic bottle,7+,Always,Every 2-3 months,No
93,user80@gmail.com,4-5,Apartment,Resident_80,56/11,,,Main Road,Near School,Ward 5,Municipality,Kollam,672191,3,13,Plastic bottle,4-7,Never,Every month,No
94,user81@gmail.com,4-5,Large house,Resident_81,98/10,,,Main Road,Near School,Ward 19,Municipality,Ernakulam,673605,4,7,Plastic packet,4-7,Never,Every month,Yes
95,user82@gmail.com,2-3,Apartment,Resident_82,219/5,,,Main Road,Near School,Ward 9,Municipality,Pathanamthitta,678567,2,14,Plastic bottle,None,Always,Rarely,Yes
96,user83@gmail.com,1,Small house,Resident_83,95/1,,,Main Road,Near School,Ward 13,Municipality,Idukki,684635,1,10,Plastic bottle,None,Sometimes,Every 2-3 months,No
97,user84@gmail.com,1,Large house,Resident_84,273/19,,,Main Road,Near School,Ward 2,Municipality,Thiruvananthapuram,681776,0,9,Plastic packet,4-7,Sometimes,Never,Yes
98,user85@gmail.com,2-3,Apartment,Resident_85,350/13,,,Main Road,Near School,Ward 15,Municipality,Wayanad,678519,2,16,Plastic bottle,7+,Sometimes,Every 2-3 months,Yes
99,user86@gmail.com,2-3,Apartment,Resident_86,430/3,,,Main Road,Near School,Ward 4,Municipality,Idukki,684955,2,12,Plastic packet,None,Never,Every month,Yes
100,user87@gmail.com,2-3,Apartment,Resident_87,224/16,,,Main Road,Near School,Ward 6,Municipality,Kottayam,685204,1,7,Plastic packet,4-7,Sometimes,Every 2-3 months,No
101,user88@gmail.com,2-3,Apartment,Resident_88,273/13,,,Main Road,Near School,Ward 5,Municipality,Kottayam,671568,2,14,Plastic bottle,7+,Sometimes,Rarely,No
102,user89@gmail.com,2-3,Large house,Resident_89,209/19,,,Main Road,Near School,Ward 22,Municipality,Kasaragod,685815,1,11,Plastic packet,1-3,Always,Every 2-3 months,No
103,user90@gmail.com,1,Apartment,Resident_90,452/16,,,Main Road,Near School,Ward 25,Municipality,Kannur,686503,1,4,Plastic bottle,7+,Never,Every month,Yes
104,user91@gmail.com,2-3,Apartment,Resident_91,51/5,,,Main Road,Near School,Ward 6,Municipality,Kasaragod,689862,2,19,Plastic bottle,None,Sometimes,Never,Yes
105,user92@gmail.com,4-5,Apartment,Resident_92,202/7,,,Main Road,Near School,Ward 16,Municipality,Thrissur,689135,2,4,Plastic packet,4-7,Sometimes,Never,Yes
106,user93@gmail.com,4-5,Small house,Resident_93,87/8,,,Main Road,Near School,Ward 10,Municipality,Malappuram,686135,2,14,Loose / refill,7+,Always,Rarely,No
107,user94@gmail.com,2-3,Small house,Resident_94,13/8,,,Main Road,Near School,Ward 22,Municipality,Thrissur,686142,3,9,Plastic packet,1-3,Always,Rarely,Yes
108,user95@gmail.com,4-5,Large house,Resident_95,54/4,,,Main Road,Near School,Ward 22,Municipality,Alappuzha,686459,4,5,Plastic bottle,7+,Always,Never,No
109,user96@gmail.com,2-3,Apartment,Resident_96,313/16,,,Main Road,Near School,Ward 12,Municipality,Alappuzha,683330,2,3,Plastic bottle,7+,Always,Rarely,Yes
110,user97@gmail.com,6+,Small house,Resident_97,60/17,,,Main Road,Near School,Ward 6,Municipality,Wayanad,682909,6,6,Loose / refill,None,Never,Every 2-3 months,No
111,user98@gmail.com,6+,Apartment,Resident_98,47/6,,,Main Road,Near School,Ward 5,Municipality,Kollam,674320,4,2,Loose / refill,4-7,Always,Rarely,Yes
112,user99@gmail.com,4-5,Small house,Resident_99,170/9,,,Main Road,Near School,Ward 14,Municipality,Pathanamthitta,686409,4,6,Plastic bottle,7+,Never,Rarely,Yes
113,user100@gmail.com,6+,Apartment,Resident_100,314/6,,,Main Road,Near School,Ward 14,Municipality,Wayanad,681308,4,6,Loose / refill,7+,Always,Every month,Yes
114,user101@gmail.com,4-5,Small house,Resident_101,193/7,,,Main Road,Near School,Ward 24,Municipality,Alappuzha,685021,4,11,Loose / refill,7+,Never,Never,No
115,user102@gmail.com,4-5,Small house,Resident_102,79/7,,,Main Road,Near School,Ward 22,Municipality,Kottayam,684846,4,5,Plastic packet,7+,Never,Never,Yes
116,user103@gmail.com,6+,Large house,Resident_103,159/7,,,Main Road,Near School,Ward 17,Municipality,Ernakulam,682613,5,14,Plastic packet,7+,Sometimes,Never,Yes
117,user104@gmail.com,2-3,Apartment,Resident_104,443/8,,,Main Road,Near School,Ward 16,Municipality,Wayanad,688273,1,4,Plastic packet,4-7,Sometimes,Never,No
118,user105@gmail.com,6+,Large house,Resident_105,156/20,,,Main Road,Near School,Ward 8,Municipality,Pathanamthitta,674151,5,5,Plastic bottle,1-3,Always,Every 2-3 months,No
119,user106@gmail.com,6+,Large house,Resident_106,99/15,,,Main Road,Near School,Ward 5,Municipality,Kottayam,682440,5,2,Loose / refill,1-3,Never,Every month,Yes
120,user107@gmail.com,4-5,Large house,Resident_107,444/1,,,Main Road,Near School,Ward 7,Municipality,Alappuzha,678424,3,10,Loose / refill,None,Sometimes,Rarely,No
121,user108@gmail.com,6+,Small house,Resident_108,358/15,,,Main Road,Near School,Ward 7,Municipality,Kollam,673972,6,2,Plastic bottle,1-3,Sometimes,Never,Yes
122,user109@gmail.com,2-3,Apartment,Resident_109,60/12,,,Main Road,Near School,Ward 19,Municipality,Kollam,675359,3,7,Plastic packet,4-7,Always,Never,Yes
123,user110@gmail.com,1,Apartment,Resident_110,417/8,,,Main Road,Near School,Ward 7,Municipality,Pathanamthitta,677643,1,18,Plastic bottle,1-3,Sometimes,Every month,Yes
124,user111@gmail.com,1,Small house,Resident_111,38/13,,,Main Road,Near School,Ward 17,Municipality,Kozhikode,671721,1,5,Loose / refill,None,Never,Never,Yes
125,user112@gmail.com,4-5,Small house,Resident_112,492/11,,,Main Road,Near School,Ward 8,Municipality,Alappuzha,688230,4,6,Loose / refill,None,Never,Rarely,Yes
126,user113@gmail.com,4-5,Large house,Resident_113,224/13,,,Main Road,Near School,Ward 13,Municipality,Kottayam,689781,3,19,Plastic bottle,7+,Always,Never,No
127,user114@gmail.com,2-3,Large house,Resident_114,139/19,,,Main Road,Near School,Ward 16,Municipality,Kozhikode,685713,2,12,Loose / refill,1-3,Never,Never,No
128,user115@gmail.com,1,Apartment,Resident_115,360/16,,,Main Road,Near School,Ward 24,Municipality,Palakkad,683705,1,10,Loose / refill,4-7,Sometimes,Rarely,No
129,user116@gmail.com,1,Apartment,Resident_116,409/1,,,Main Road,Near School,Ward 10,Municipality,Kannur,684384,1,13,Loose / refill,1-3,Sometimes,Every month,Yes
130,user117@gmail.com,4-5,Apartment,Resident_117,213/19,,,Main Road,Near School,Ward 17,Municipality,Ernakulam,688273,2,12,Plastic packet,7+,Always,Every 2-3 months,Yes
131,user118@gmail.com,1,Apartment,Resident_118,8/19,,,Main Road,Near School,Ward 10,Municipality,Kollam,675644,1,7,Plastic packet,1-3,Never,Rarely,Yes
132,user119@gmail.com,4-5,Apartment,Resident_119,113/8,,,Main Road,Near School,Ward 3,Municipality,Kottayam,678112,3,9,Plastic packet,1-3,Never,Rarely,No
133,user120@gmail.com,4-5,Small house,Resident_120,60/1,,,Main Road,Near School,Ward 21,Municipality,Kannur,676547,3,12,Plastic bottle,4-7,Never,Rarely,Yes
134,user121@gmail.com,4-5,Small house,Resident_121,407/15,,,Main Road,Near School,Ward 14,Municipality,Pathanamthitta,686024,3,10,Plastic packet,None,Always,Every 2-3 months,No
135,user122@gmail.com,4-5,Apartment,Resident_122,9/19,,,Main Road,Near School,Ward 22,Municipality,Kozhikode,689616,3,16,Loose / refill,7+,Sometimes,Every 2-3 months,Yes
136,user123@gmail.com,2-3,Apartment,Resident_123,116/6,,,Main Road,Near School,Ward 4,Municipality,Thrissur,689112,1,2,Loose / refill,4-7,Always,Rarely,No
137,user124@gmail.com,6+,Apartment,Resident_124,311/15,,,Main Road,Near School,Ward 8,Municipality,Kottayam,681617,3,6,Plastic packet,1-3,Always,Every 2-3 months,Yes
138,user125@gmail.com,4-5,Apartment,Resident_125,380/16,,,Main Road,Near School,Ward 22,Municipality,Kollam,686513,4,7,Plastic bottle,1-3,Always,Every 2-3 months,Yes
139,user126@gmail.com,4-5,Large house,Resident_126,72/8,,,Main Road,Near School,Ward 13,Municipality,Idukki,687596,3,19,Plastic bottle,7+,Always,Rarely,No
140,user127@gmail.com,6+,Small house,Resident_127,235/3,,,Main Road,Near School,Ward 1,Municipality,Thrissur,685683,6,10,Plastic packet,7+,Never,Every 2-3 months,Yes
141,user128@gmail.com,2-3,Apartment,Resident_128,94/2,,,Main Road,Near School,Ward 14,Municipality,Kollam,676646,2,7,Plastic packet,None,Always,Every month,Yes
142,user129@gmail.com,4-5,Small house,Resident_129,119/16,,,Main Road,Near School,Ward 14,Municipality,Wayanad,685754,2,9,Plastic bottle,None,Never,Every 2-3 months,No
143,user130@gmail.com,2-3,Small house,Resident_130,488/8,,,Main Road,Near School,Ward 14,Municipality,Alappuzha,682168,3,9,Plastic bottle,7+,Sometimes,Every 2-3 months,No
144,user131@gmail.com,2-3,Apartment,Resident_131,244/14,,,Main Road,Near School,Ward 11,Municipality,Malappuram,675859,2,4,Plastic bottle,1-3,Always,Never,No
145,user132@gmail.com,2-3,Large house,Resident_132,296/7,,,Main Road,Near School,Ward 10,Municipality,Thrissur,681811,1,13,Plastic packet,4-7,Never,Never,No
146,user133@gmail.com,4-5,Large house,Resident_133,330/5,,,Main Road,Near School,Ward 3,Municipality,Kannur,677946,3,10,Plastic bottle,1-3,Always,Every month,Yes
147,user134@gmail.com,4-5,Apartment,Resident_134,220/6,,,Main Road,Near School,Ward 5,Municipality,Kannur,677531,3,3,Loose / refill,4-7,Always,Every 2-3 months,No
148,user135@gmail.com,2-3,Apartment,Resident_135,271/17,,,Main Road,Near School,Ward 6,Municipality,Thiruvananthapuram,674410,1,6,Plastic packet,1-3,Sometimes,Every month,No
149,user136@gmail.com,2-3,Apartment,Resident_136,431/10,,,Main Road,Near School,Ward 19,Municipality,Idukki,675424,3,11,Plastic packet,4-7,Sometimes,Never,Yes
150,user137@gmail.com,1,Apartment,Resident_137,357/3,,,Main Road,Near School,Ward 21,Municipality,Pathanamthitta,688957,1,4,Plastic packet,7+,Sometimes,Never,Yes
151,user138@gmail.com,4-5,Large house,Resident_138,445/19,,,Main Road,Near School,Ward 19,Municipality,Kannur,673692,2,2,Plastic packet,4-7,Always,Rarely,No
152,user139@gmail.com,2-3,Apartment,Resident_139,149/12,,,Main Road,Near School,Ward 12,Municipality,Kozhikode,680497,1,15,Plastic bottle,None,Sometimes,Every 2-3 months,Yes
153,user140@gmail.com,2-3,Large house,Resident_140,289/5,,,Main Road,Near School,Ward 15,Municipality,Pathanamthitta,689113,1,20,Loose / refill,None,Sometimes,Every 2-3 months,Yes
154,user141@gmail.com,1,Small house,Resident_141,93/10,,,Main Road,Near School,Ward 11,Municipality,Wayanad,675593,0,8,Plastic bottle,4-7,Sometimes,Every 2-3 months,No
155,user142@gmail.com,1,Small house,Resident_142,433/20,,,Main Road,Near School,Ward 12,Municipality,Wayanad,681422,1,7,Loose / refill,None,Sometimes,Every month,Yes
156,user143@gmail.com,4-5,Small house,Resident_143,346/15,,,Main Road,Near School,Ward 5,Municipality,Pathanamthitta,673627,3,7,Plastic bottle,7+,Always,Rarely,No
157,user144@gmail.com,6+,Small house,Resident_144,435/8,,,Main Road,Near School,Ward 2,Municipality,Kozhikode,684379,5,16,Plastic bottle,1-3,Sometimes,Every month,Yes
