id,user_email,food_waste,compost,garden_waste
67,user63@gmail.com,more_1kg,mixed,monthly
68,user64@gmail.com,250g_500g,worm_compost,daily
69,user65@gmail.com,250g_500g,mixed,daily
70,user66@gmail.com,less_250g,community,monthly
71,user67@gmail.com,more_1kg,home_compost,weekly
72,user68@gmail.com,250g_500g,community,weekly
73,user69@gmail.com,more_1kg,community,monthly
74,user70@gmail.com,more_1kg,biomethanation,weekly
75,user71@gmail.com,250g_500g,collector,weekly
76,user72@gmail.com,500g_1kg,home_compost,daily
77,user73@gmail.com,500g_1kg,mixed,monthly
78,user74@gmail.com,500g_1kg,home_compost,monthly
79,user75@gmail.com,less_250g,collector,daily
80,user76@gmail.com,250g_500g,home_compost,weekly
81,user77@gmail.com,500g_1kg,biomethanation,monthly
82,user78@gmail.com,more_1kg,biomethanation,daily
83,user79@gmail.com,250g_500g,biomethanation,monthly
84,user80@gmail.com,500g_1kg,mixed,weekly
85,user81@gmail.com,500g_1kg,community,no
86,user82@gmail.com,250g_500g,mixed,no
87,user83@gmail.com,less_250g,biomethanation,weekly
88,user84@gmail.com,less_250g,community,monthly
89,user85@gmail.com,250g_500g,home_compost,daily
90,user86@gmail.com,250g_500g,home_compost,weekly
91,user87@gmail.com,250g_500g,collector,no
92,user88@gmail.com,250g_500g,biomethanation,no
93,user89@gmail.com,250g_500g,mixed,no
94,user90@gmail.com,less_250g,biomethanation,weekly
95,user91@gmail.com,250g_500g,biomethanation,no
96,user92@gmail.com,500g_1kg,collector,no
97,user93@gmail.com,500g_1kg,community,weekly
98,user94@gmail.com,250g_500g,mixed,no
99,user95@gmail.com,500g_1kg,worm_compost,no
100,user96@gmail.com,250g_500g,collector,monthly
101,user97@gmail.com,more_1kg,mixed,no
102,user98@gmail.com,more_1kg,mixed,monthly
103,user99@gmail.com,500g_1kg,community,monthly
104,user100@gmail.com,more_1kg,mixed,monthly
105,user101@gmail.com,500g_1kg,community,monthly
106,user102@gmail.com,500g_1kg,worm_compost,daily
107,user103@gmail.com,more_1kg,worm_compost,no
108,user104@gmail.com,250g_500g,mixed,daily
109,user105@gmail.com,more_1kg,worm_compost,weekly
110,user106@gmail.com,more_1kg,community,monthly
111,user107@gmail.com,500g_1kg,mixed,weekly
112,user108@gmail.com,more_1kg,mixed,monthly
113,user109@gmail.com,250g_500g,collector,monthly
114,user110@gmail.com,less_250g,mixed,no
115,user111@gmail.com,less_250g,home_compost,weekly
116,user112@gmail.com,500g_1kg,worm_compost,weekly
117,user113@gmail.com,500g_1kg,collector,monthly
118,user114@gmail.com,250g_500g,community,monthly
119,user115@gmail.com,less_250g,home_compost,daily
120,user116@gmail.com,less_250g,worm_compost,weekly
121,user117@gmail.com,500g_1kg,community,no
122,user118@gmail.com,less_250g,collector,weekly
123,user119@gmail.com,500g_1kg,home_compost,daily
124,user120@gmail.com,500g_1kg,home_compost,weekly
125,user121@gmail.com,500g_1kg,biomethanation,monthly
126,user122@gmail.com,500g_1kg,mixed,no
127,user123@gmail.com,250g_500g,biomethanation,weekly
128,user124@gmail.com,more_1kg,home_compost,monthly
129,user125@gmail.com,500g_1kg,home_compost,weekly
130,user126@gmail.com,500g_1kg,community,no
131,user127@gmail.com,more_1kg,collector,daily
132,user128@gmail.com,250g_500g,collector,no
133,user129@gmail.com,500g_1kg,worm_compost,daily
134,user130@gmail.com,250g_500g,mixed,monthly
135,user131@gmail.com,250g_500g,community,no
136,user132@gmail.com,250g_500g,home_compost,daily
137,user133@gmail.com,500g_1kg,worm_compost,no
138,user134@gmail.com,500g_1kg,biomethanation,no
139,user135@gmail.com,250g_500g,community,weekly
140,user136@gmail.com,250g_500g,home_compost,weekly
141,user137@gmail.com,less_250g,worm_compost,no
142,user138@gmail.com,500g_1kg,community,weekly
143,user139@gmail.com,250g_500g,home_compost,daily
144,user140@gmail.com,250g_500g,biomethanation,daily
145,user141@gmail.com,less_250g,community,no
146,user142@gmail.com,less_250g,mixed,no
147,user143@gmail.com,500g_1kg,biomethanation,no
148,user144@gmail.com,more_1kg,worm_compost,daily
149,user145@gmail.com,250g_500g,home_compost,weekly
150,user146@gmail.com,250g_500g,worm_compost,no
151,user147@gmail.com,250g_500g,biomethanation,no
152,user148@gmail.com,250g_500g,worm_compost,daily
153,user149@gmail.com,500g_1kg,collector,weekly
154,user150@gmail.com,500g_1kg,mixed,daily
155,user151@gmail.com,250g_500g,worm_compost,no
156,user152@gmail.com,less_250g,mixed,monthly
157,user153@gmail.com,500g_1kg,home_compost,monthly
158,user154@gmail.com,more_1kg,worm_compost,daily
159,user155@gmail.com,500g_1kg,home_compost,daily
160,user156@gmail.com,500g_1kg,worm_compost,weekly
161,user157@gmail.com,250g_500g,collector,no
162,user158@gmail.com,500g_1kg,home_compost,daily
163,user159@gmail.com,250g_500g,community,daily
164,user160@gmail.com,more_1kg,community,weekly
165,user161@gmail.com,250g_500g,mixed,no
166,user162@gmail.com,500g_1kg,worm_compost,no
167,user163@gmail.com,250g_500g,home_compost,weekly
168,user164@gmail.com,more_1kg,collector,daily
169,user165@gmail.com,250g_500g,biomethanation,monthly
170,user166@gmail.com,250g_500g,biomethanation,monthly
171,user167@gmail.com,250g_500g,community,monthly
172,user168@gmail.com,250g_500g,worm_compost,daily
173,user169@gmail.com,more_1kg,home_compost,weekly
174,user170@gmail.com,less_250g,collector,weekly
175,user171@gmail.com,250g_500g,mixed,daily
176,user172@gmail.com,less_250g,mixed,monthly
177,user173@gmail.com,500g_1kg,worm_compost,weekly
178,user174@gmail.com,more_1kg,home_compost,weekly
179,user175@gmail.com,500g_1kg,worm_compost,weekly
180,user176@gmail.com,500g_1kg,mixed,weekly
181,user177@gmail.com,250g_500g,home_compost,no
182,user178@gmail.com,more_1kg,biomethanation,weekly
183,user179@gmail.com,500g_1kg,community,monthly
184,user180@gmail.com,250g_500g,community,no
185,user181@gmail.com,500g_1kg,collector,no
186,user182@gmail.com,250g_500g,mixed,no
187,user183@gmail.com,500g_1kg,collector,weekly
188,user184@gmail.com,250g_500g,mixed,daily
189,user185@gmail.com,500g_1kg,community,weekly
190,user186@gmail.com,250g_500g,home_compost,no
191,user187@gmail.com,500g_1kg,worm_compost,no
192,user188@gmail.com,more_1kg,collector,weekly
193,user189@gmail.com,more_1kg,collector,monthly
194,user190@gmail.com,500g_1kg,biomethanation,monthly
195,user191@gmail.com,500g_1kg,biomethanation,no
196,user192@gmail.com,250g_500g,community,monthly
197,user193@gmail.com,500g_1kg,home_compost,weekly
198,user194@gmail.com,500g_1kg,home_compost,monthly
199,user195@gmail.com,500g_1kg,community,daily
200,user196@gmail.com,500g_1kg,biomethanation,daily
201,user197@gmail.com,250g_500g,biomethanation,weekly
202,user198@gmail.com,500g_1kg,worm_compost,no
203,user199@gmail.com,250g_500g,community,weekly
204,user200@gmail.com,less_250g,collector,weekly
205,user201@gmail.com,more_1kg,home_compost,daily
206,user202@gmail.com,250g_500g,worm_compost,monthly
207,user203@gmail.com,more_1kg,home_compost,monthly
208,user204@gmail.com,less_250g,mixed,daily
209,user205@gmail.com,250g_500g,collector,weekly
210,user206@gmail.com,500g_1kg,worm_compost,monthly
211,user207@gmail.com,250g_500g,home_compost,weekly
212,user208@gmail.com,250g_500g,community,monthly
213,user209@gmail.com,250g_500g,biomethanation,daily
214,user210@gmail.com,250g_500g,worm_compost,weekly
215,user211@gmail.com,more_1kg,worm_compost,daily
216,user212@gmail.com,more_1kg,home_compost,monthly
217,user213@gmail.com,500g_1kg,home_compost,daily
218,user214@gmail.com,500g_1kg,worm_compost,weekly
219,user215@gmail.com,less_250g,mixed,monthly
220,user216@gmail.com,250g_500g,home_compost,daily
221,user217@gmail.com,250g_500g,worm_compost,no
222,user218@gmail.com,500g_1kg,mixed,weekly
223,user219@gmail.com,250g_500g,home_compost,no
224,user220@gmail.com,500g_1kg,biomethanation,no
225,user221@gmail.com,250g_500g,mixed,no
226,user222@gmail.com,500g_1kg,community,monthly
227,user223@gmail.com,more_1kg,community,daily
228,user224@gmail.com,500g_1kg,community,monthly
229,user225@gmail.com,more_1kg,home_compost,weekly
230,user226@gmail.com,250g_500g,biomethanation,weekly
231,user227@gmail.com,250g_500g,community,no
232,user228@gmail.com,less_250g,worm_compost,monthly
233,user229@gmail.com,250g_500g,mixed,no
234,user230@gmail.com,250g_500g,home_compost,monthly
235,user231@gmail.com,500g_1kg,mixed,weekly
236,user232@gmail.com,250g_500g,mixed,daily
237,user233@gmail.com,250g_500g,mixed,daily
238,user234@gmail.com,250g_500g,collector,monthly
239,user235@gmail.com,500g_1kg,community,weekly
240,user236@gmail.com,500g_1kg,mixed,daily
241,user237@gmail.com,more_1kg,collector,daily
242,user238@gmail.com,250g_500g,collector,monthly
243,user239@gmail.com,500g_1kg,community,no
244,user240@gmail.com,500g_1kg,community,daily
245,user241@gmail.com,250g_500g,collector,no
246,user242@gmail.com,500g_1kg,biomethanation,weekly
247,user243@gmail.com,250g_500g,home_compost,weekly
248,user244@gmail.com,250g_500g,mixed,weekly
249,user245@gmail.com,250g_500g,mixed,daily
250,user246@gmail.com,250g_500g,collector,daily
251,user247@gmail.com,500g_1kg,home_compost,daily
252,user248@gmail.com,more_1kg,mixed,no
253,user249@gmail.com,250g_500g,community,monthly
254,user250@gmail.com,500g_1kg,home_compost,no
255,user251@gmail.com,more_1kg,mixed,daily
256,user252@gmail.com,500g_1kg,biomethanation,monthly
257,user253@gmail.com,250g_500g,worm_compost,daily
258,user254@gmail.com,500g_1kg,community,monthly
259,user255@gmail.com,500g_1kg,worm_compost,monthly
260,user256@gmail.com,250g_500g,community,monthly
261,user257@gmail.com,500g_1kg,community,weekly
262,user258@gmail.com,250g_500g,biomethanation,daily
263,user259@gmail.com,250g_500g,mixed,monthly
264,user260@gmail.com,250g_500g,collector,daily
265,user261@gmail.com,more_1kg,mixed,monthly
266,user262@gmail.com,250g_500g,mixed,weekly
267,user263@gmail.com,250g_500g,collector,weekly
268,user264@gmail.com,more_1kg,community,daily
269,user265@gmail.com,500g_1kg,home_compost,monthly
270,user266@gmail.com,less_250g,worm_compost,no
271,user267@gmail.com,250g_500g,community,weekly
272,user268@gmail.com,500g_1kg,community,daily
273,user269@gmail.com,500g_1kg,biomethanation,no
274,user270@gmail.com,500g_1kg,mixed,no
275,user271@gmail.com,less_250g,collector,daily
276,user272@gmail.com,more_1kg,worm_compost,daily
277,user273@gmail.com,less_250g,collector,no
278,user274@gmail.com,more_1kg,collector,daily
279,user275@gmail.com,less_250g,home_compost,daily
280,user276@gmail.com,250g_500g,mixed,monthly
281,user277@gmail.com,less_250g,collector,daily
282,user278@gmail.com,500g_1kg,community,daily
283,user279@gmail.com,250g_500g,collector,weekly
284,user280@gmail.com,more_1kg,home_compost,monthly
285,user281@gmail.com,500g_1kg,community,monthly
286,user282@gmail.com,more_1kg,home_compost,no
287,user283@gmail.com,250g_500g,collector,no
288,user284@gmail.com,more_1kg,community,daily
289,user285@gmail.com,250g_500g,mixed,no
290,user286@gmail.com,500g_1kg,worm_compost,daily
291,user287@gmail.com,500g_1kg,mixed,daily
292,user288@gmail.com,500g_1kg,collector,monthly
293,user289@gmail.com,less_250g,mixed,daily
294,user290@gmail.com,500g_1kg,worm_compost,monthly
295,user291@gmail.com,250g_500g,home_compost,weekly
296,user292@gmail.com,250g_500g,biomethanation,no
297,user293@gmail.com,500g_1kg,collector,monthly
298,user294@gmail.com,250g_500g,worm_compost,daily
299,user295@gmail.com,more_1kg,collector,weekly
300,user296@gmail.com,500g_1kg,worm_compost,no
301,user297@gmail.com,250g_500g,collector,weekly
302,user298@gmail.com,500g_1kg,mixed,weekly
303,user299@gmail.com,250g_500g,biomethanation,monthly
304,user300@gmail.com,250g_500g,worm_compost,monthly
305,user301@gmail.com,more_1kg,biomethanation,no
306,user302@gmail.com,500g_1kg,collector,weekly
307,user303@gmail.com,250g_500g,biomethanation,daily
308,user304@gmail.com,250g_500g,biomethanation,weekly
309,user305@gmail.com,250g_500g,biomethanation,weekly
310,user306@gmail.com,more_1kg,mixed,weekly
311,user307@gmail.com,less_250g,home_compost,monthly
312,user308@gmail.com,500g_1kg,home_compost,daily
313,user309@gmail.com,250g_500g,home_compost,daily
314,user310@gmail.com,250g_500g,worm_compost,daily
315,user311@gmail.com,250g_500g,home_compost,no
316,user312@gmail.com,250g_500g,home_compost,weekly
317,user313@gmail.com,250g_500g,mixed,monthly
318,user314@gmail.com,250g_500g,collector,no
319,user315@gmail.com,250g_500g,worm_compost,monthly
320,user316@gmail.com,250g_500g,community,monthly
321,user317@gmail.com,more_1kg,worm_compost,no
322,user318@gmail.com,250g_500g,community,daily
323,user319@gmail.com,500g_1kg,home_compost,daily
324,user320@gmail.com,less_250g,home_compost,daily
325,user321@gmail.com,250g_500g,biomethanation,no
326,user322@gmail.com,less_250g,biomethanation,daily
327,user323@gmail.com,500g_1kg,collector,daily
328,user324@gmail.com,250g_500g,mixed,daily
329,user325@gmail.com,500g_1kg,collector,no
330,user326@gmail.com,250g_500g,collector,monthly
331,user327@gmail.com,less_250g,mixed,daily
332,user328@gmail.com,250g_500g,biomethanation,daily
333,user329@gmail.com,250g_500g,mixed,monthly
334,user330@gmail.com,more_1kg,home_compost,weekly
335,user331@gmail.com,500g_1kg,mixed,weekly
336,user332@gmail.com,less_250g,community,no
337,user333@gmail.com,500g_1kg,worm_compost,no
338,user334@gmail.com,250g_500g,collector,weekly
339,user335@gmail.com,250g_500g,biomethanation,monthly
340,user336@gmail.com,more_1kg,worm_compost,monthly
341,user337@gmail.com,less_250g,mixed,no
342,user338@gmail.com,250g_500g,biomethanation,monthly
343,user339@gmail.com,500g_1kg,community,weekly
344,user340@gmail.com,more_1kg,worm_compost,no
345,user341@gmail.com,250g_500g,worm_compost,daily
346,user342@gmail.com,250g_500g,biomethanation,weekly
347,user343@gmail.com,500g_1kg,community,daily
348,user344@gmail.com,500g_1kg,community,monthly
349,user345@gmail.com,250g_500g,home_compost,no
350,user346@gmail.com,500g_1kg,biomethanation,monthly
351,user347@gmail.com,250g_500g,mixed,weekly
352,user348@gmail.com,250g_500g,biomethanation,no
353,user349@gmail.com,250g_500g,home_compost,monthly
354,user350@gmail.com,250g_500g,collector,no
355,user351@gmail.com,more_1kg,mixed,daily
356,user352@gmail.com,less_250g,mixed,monthly
357,user353@gmail.com,250g_500g,community,no
358,user354@gmail.com,250g_500g,community,daily
359,user355@gmail.com,less_250g,home_compost,monthly
360,user356@gmail.com,250g_500g,mixed,monthly
361,user357@gmail.com,500g_1kg,community,monthly
362,user358@gmail.com,500g_1kg,biomethanation,no
363,user359@gmail.com,500g_1kg,collector,monthly
364,user360@gmail.com,250g_500g,community,monthly
365,user361@gmail.com,250g_500g,collector,monthly
366,user362@gmail.com,250g_500g,home_compost,monthly
367,user363@gmail.com,less_250g,mixed,no
368,user364@gmail.com,more_1kg,biomethanation,weekly
369,user365@gmail.com,500g_1kg,home_compost,monthly
370,user366@gmail.com,500g_1kg,community,no
371,user367@gmail.com,250g_500g,community,no
372,user368@gmail.com,more_1kg,community,monthly
373,user369@gmail.com,500g_1kg,home_compost,weekly
374,user370@gmail.com,500g_1kg,biomethanation,monthly
375,user371@gmail.com,250g_500g,biomethanation,monthly
376,user372@gmail.com,250g_500g,collector,weekly
377,user373@gmail.com,500g_1kg,home_compost,daily
378,user374@gmail.com,500g_1kg,mixed,no
379,user375@gmail.com,more_1kg,mixed,weekly
380,user376@gmail.com,250g_500g,community,weekly
381,user377@gmail.com,500g_1kg,collector,weekly
382,user378@gmail.com,250g_500g,home_compost,weekly
383,user379@gmail.com,250g_500g,worm_compost,no
384,user380@gmail.com,less_250g,worm_compost,monthly
385,user381@gmail.com,250g_500g,mixed,no
386,user382@gmail.com,more_1kg,worm_compost,no
387,user383@gmail.com,250g_500g,home_compost,weekly
388,user384@gmail.com,500g_1kg,community,no
389,user385@gmail.com,500g_1kg,biomethanation,daily
390,user386@gmail.com,500g_1kg,biomethanation,daily
391,user387@gmail.com,less_250g,home_compost,daily
392,user388@gmail.com,250g_500g,collector,monthly
393,user389@gmail.com,500g_1kg,mixed,weekly
394,user390@gmail.com,less_250g,biomethanation,monthly
395,user391@gmail.com,500g_1kg,mixed,no
396,user392@gmail.com,more_1kg,worm_compost,weekly
397,user393@gmail.com,500g_1kg,home_compost,daily
398,user394@gmail.com,250g_500g,home_compost,monthly
399,user395@gmail.com,500g_1kg,community,daily
400,user396@gmail.com,more_1kg,community,daily
401,user397@gmail.com,250g_500g,mixed,no
402,user398@gmail.com,500g_1kg,biomethanation,no
403,user399@gmail.com,250g_500g,mixed,daily
404,user400@gmail.com,500g_1kg,collector,weekly
405,user401@gmail.com,500g_1kg,worm_compost,daily
406,user402@gmail.com,500g_1kg,community,weekly
407,user403@gmail.com,500g_1kg,worm_compost,monthly
408,user404@gmail.com,less_250g,mixed,monthly
409,user405@gmail.com,250g_500g,biomethanation,weekly
410,user406@gmail.com,250g_500g,biomethanation,daily
411,user407@gmail.com,500g_1kg,mixed,daily
412,user408@gmail.com,250g_500g,home_compost,daily
413,user409@gmail.com,less_250g,biomethanation,daily
414,user410@gmail.com,more_1kg,mixed,monthly
415,user411@gmail.com,more_1kg,community,monthly
416,user412@gmail.com,250g_500g,worm_compost,daily
417,user413@gmail.com,less_250g,mixed,no
418,user414@gmail.com,500g_1kg,mixed,no
419,user415@gmail.com,500g_1kg,collector,no
420,user416@gmail.com,more_1kg,worm_compost,daily
421,user417@gmail.com,more_1kg,mixed,monthly
422,user418@gmail.com,500g_1kg,community,weekly
423,user419@gmail.com,250g_500g,biomethanation,daily
424,user420@gmail.com,500g_1kg,home_compost,no
425,user421@gmail.com,250g_500g,home_compost,monthly
426,user422@gmail.com,less_250g,community,monthly
427,user423@gmail.com,500g_1kg,biomethanation,no
428,user424@gmail.com,250g_500g,home_compost,no
429,user425@gmail.com,500g_1kg,mixed,no
430,user426@gmail.com,250g_500g,mixed,weekly
431,user427@gmail.com,500g_1kg,biomethanation,monthly
432,user428@gmail.com,500g_1kg,mixed,no
433,user429@gmail.com,250g_500g,biomethanation,weekly
434,user430@gmail.com,250g_500g,collector,weekly
435,user431@gmail.com,250g_500g,collector,monthly
436,user432@gmail.com,250g_500g,home_compost,daily
437,user433@gmail.com,250g_500g,worm_compost,no
438,user434@gmail.com,500g_1kg,worm_compost,daily
439,user435@gmail.com,less_250g,mixed,no
440,user436@gmail.com,more_1kg,worm_compost,weekly
441,user437@gmail.com,500g_1kg,mixed,weekly
442,user438@gmail.com,less_250g,biomethanation,weekly
443,user439@gmail.com,250g_500g,collector,monthly
444,user440@gmail.com,250g_500g,mixed,weekly
445,user441@gmail.com,500g_1kg,worm_compost,monthly
446,user442@gmail.com,500g_1kg,home_compost,no
447,user443@gmail.com,250g_500g,collector,monthly
448,user444@gmail.com,250g_500g,mixed,daily
449,user445@gmail.com,500g_1kg,home_compost,monthly
450,user446@gmail.com,250g_500g,mixed,weekly
451,user447@gmail.com,more_1kg,collector,weekly
452,user448@gmail.com,250g_500g,worm_compost,no
453,user449@gmail.com,500g_1kg,biomethanation,daily
454,user450@gmail.com,250g_500g,collector,daily
455,user451@gmail.com,250g_500g,worm_compost,no
456,user452@gmail.com,250g_500g,community,weekly
457,user453@gmail.com,more_1kg,collector,monthly
458,user454@gmail.com,less_250g,community,daily
459,user455@gmail.com,250g_500g,community,no
460,user456@gmail.com,250g_500g,home_compost,weekly
461,user457@gmail.com,500g_1kg,worm_compost,daily
462,user458@gmail.com,500g_1kg,community,weekly
463,user459@gmail.com,500g_1kg,worm_compost,monthly
464,user460@gmail.com,250g_500g,community,weekly
465,user461@gmail.com,250g_500g,worm_compost,monthly
466,user462@gmail.com,more_1kg,collector,daily
467,user463@gmail.com,less_250g,worm_compost,monthly
468,user464@gmail.com,more_1kg,collector,weekly
469,user465@gmail.com,250g_500g,worm_compost,no
470,user466@gmail.com,250g_500g,biomethanation,weekly
471,user467@gmail.com,250g_500g,community,monthly
472,user468@gmail.com,250g_500g,community,no
473,user469@gmail.com,250g_500g,collector,monthly
474,user470@gmail.com,500g_1kg,biomethanation,no
475,user471@gmail.com,250g_500g,home_compost,no
476,user472@gmail.com,500g_1kg,collector,no
477,user473@gmail.com,250g_500g,biomethanation,weekly
478,user474@gmail.com,500g_1kg,mixed,no
479,user475@gmail.com,500g_1kg,home_compost,monthly
480,user476@gmail.com,250g_500g,mixed,daily
481,user477@gmail.com,250g_500g,biomethanation,monthly
482,user478@gmail.com,250g_500g,community,monthly
483,user479@gmail.com,250g_500g,worm_compost,monthly
484,user480@gmail.com,500g_1kg,collector,daily
485,user481@gmail.com,250g_500g,community,no
486,user482@gmail.com,more_1kg,mixed,monthly
487,user483@gmail.com,more_1kg,community,no
488,user484@gmail.com,less_250g,biomethanation,monthly
489,user485@gmail.com,less_250g,community,daily
490,user486@gmail.com,250g_500g,community,monthly
491,user487@gmail.com,250g_500g,community,monthly
492,user488@gmail.com,250g_500g,worm_compost,monthly
493,user489@gmail.com,500g_1kg,worm_compost,monthly
494,user490@gmail.com,250g_500g,mixed,daily
495,user491@gmail.com,less_250g,community,no
496,user492@gmail.com,500g_1kg,biomethanation,weekly
497,user493@gmail.com,250g_500g,collector,weekly
498,user494@gmail.com,500g_1kg,worm_compost,no
499,user495@gmail.com,250g_500g,biomethanation,weekly
500,user496@gmail.com,500g_1kg,home_compost,weekly
501,user497@gmail.com,250g_500g,worm_compost,no
502,user498@gmail.com,less_250g,community,weekly
503,user499@gmail.com,250g_500g,community,weekly
504,user500@gmail.com,250g_500g,worm_compost,weekly
505,user1@gmail.com,more_1kg,mixed,no
506,user2@gmail.com,more_1kg,mixed,daily
507,user3@gmail.com,500g_1kg,worm_compost,no
508,user4@gmail.com,500g_1kg,community,monthly
509,user5@gmail.com,more_1kg,collector,no
510,user6@gmail.com,250g_500g,collector,no
511,user7@gmail.com,250g_500g,community,weekly
512,user8@gmail.com,less_250g,worm_compost,daily
513,user9@gmail.com,500g_1kg,community,no
514,user10@gmail.com,250g_500g,biomethanation,no
515,user11@gmail.com,more_1kg,worm_compost,weekly
516,user12@gmail.com,250g_500g,mixed,weekly
517,user13@gmail.com,500g_1kg,worm_compost,no
518,user14@gmail.com,500g_1kg,worm_compost,no
519,user15@gmail.com,less_250g,community,monthly
520,user16@gmail.com,more_1kg,worm_compost,monthly
521,user17@gmail.com,250g_500g,biomethanation,monthly
522,user18@gmail.com,500g_1kg,community,no
523,user19@gmail.com,500g_1kg,worm_compost,monthly
524,user20@gmail.com,500g_1kg,mixed,no
525,user21@gmail.com,250g_500g,worm_compost,no
526,user22@gmail.com,250g_500g,home_compost,weekly
527,user23@gmail.com,250g_500g,worm_compost,no
528,user24@gmail.com,500g_1kg,biomethanation,monthly
529,user25@gmail.com,500g_1kg,collector,weekly
530,user26@gmail.com,250g_500g,biomethanation,no
531,user27@gmail.com,500g_1kg,community,weekly
532,user28@gmail.com,500g_1kg,community,weekly
533,user29@gmail.com,250g_500g,home_compost,no
534,user30@gmail.com,250g_500g,worm_compost,monthly
535,user31@gmail.com,500g_1kg,biomethanation,no
536,user32@gmail.com,250g_500g,mixed,monthly
537,user33@gmail.com,less_250g,community,monthly
538,user34@gmail.com,500g_1kg,biomethanation,monthly
539,user35@gmail.com,more_1kg,home_compost,monthly
540,user36@gmail.com,more_1kg,mixed,weekly
541,user37@gmail.com,500g_1kg,home_compost,daily
542,user38@gmail.com,500g_1kg,home_compost,weekly
543,user39@gmail.com,500g_1kg,home_compost,daily
544,user40@gmail.com,less_250g,biomethanation,weekly
545,user41@gmail.com,250g_500g,collector,daily
546,user42@gmail.com,250g_500g,biomethanation,daily
547,user43@gmail.com,250g_500g,mixed,no
548,user44@gmail.com,more_1kg,community,weekly
549,user45@gmail.com,more_1kg,home_compost,weekly
550,user46@gmail.com,250g_500g,collector,monthly
551,user47@gmail.com,500g_1kg,home_compost,weekly
552,user48@gmail.com,less_250g,mixed,daily
553,user49@gmail.com,500g_1kg,biomethanation,daily
554,user50@gmail.com,500g_1kg,biomethanation,monthly
555,user51@gmail.com,500g_1kg,community,monthly
556,user52@gmail.com,250g_500g,worm_compost,monthly
557,user53@gmail.com,250g_500g,collector,monthly
558,user54@gmail.com,more_1kg,mixed,monthly
559,user55@gmail.com,250g_500g,worm_compost,weekly
560,user56@gmail.com,more_1kg,community,weekly
561,user57@gmail.com,500g_1kg,home_compost,monthly
562,user58@gmail.com,500g_1kg,biomethanation,daily
