user_email,family_size,house_type,district,milk_packets,deliveries,oil_type,bottles,segregation,food_waste,compost,garden_waste,old_devices,batteries,disposal_method,family_size_encoded,batteries_encoded,fraud_flag
user898@gmail.com,6+,Apartment,Kasaragod,6,5,Loose / refill,7+,Never,more_1kg,collector,monthly,2,none,store,3,3,1
user901@gmail.com,6+,Large house,Kasaragod,6,17,Plastic bottle,4-7,Always,more_1kg,home_compost,no,4,none,recycle,3,3,1
user904@gmail.com,6+,Large house,Thiruvananthapuram,5,5,Plastic bottle,4-7,Sometimes,more_1kg,mixed,weekly,3,none,recycle,3,3,1
user940@gmail.com,1,Apartment,Thiruvananthapuram,0,9,Loose / refill,1-3,Never,less_250g,mixed,monthly,2,none,recycle,0,3,1
user964@gmail.com,1,Apartment,Idukki,0,2,Plastic bottle,7+,Never,less_250g,collector,weekly,2,6+,recycle,0,2,1
user1003@gmail.com,6+,Apartment,Kozhikode,6,14,Plastic bottle,,Never,more_1kg,collector,monthly,4,3-5,trash,3,1,1
user1016@gmail.com,6+,Large house,Palakkad,6,4,Plastic bottle,,Never,more_1kg,biomethanation,weekly,2,3-5,sell,3,1,1
user1017@gmail.com,6+,Large house,Palakkad,6,3,Plastic bottle,1-3,Sometimes,more_1kg,collector,daily,0,1-2,trash,3,0,1
user1031@gmail.com,1,Small house,Thiruvananthapuram,0,12,Loose / refill,4-7,Sometimes,less_250g,worm_compost,no,3,none,sell,0,3,1
user1064@gmail.com,6+,Apartment,Kozhikode,6,11,Loose / refill,,Always,more_1kg,worm_compost,daily,4,1-2,sell,3,0,1
user1078@gmail.com,6+,Small house,Kozhikode,6,16,Plastic packet,,Never,more_1kg,home_compost,daily,4,6+,trash,3,2,1
user1104@gmail.com,1,Small house,Kottayam,0,11,Plastic bottle,7+,Always,less_250g,collector,no,1,none,recycle,0,3,1
user1110@gmail.com,1,Small house,Idukki,0,5,Plastic packet,7+,Never,less_250g,community,daily,4,none,trash,0,3,1
user1146@gmail.com,1,Apartment,Kasaragod,1,3,Plastic bottle,,Never,less_250g,home_compost,weekly,3,none,sell,0,3,1
user1154@gmail.com,6+,Large house,Thrissur,6,19,Plastic packet,7+,Always,more_1kg,biomethanation,weekly,4,1-2,store,3,0,1
user1171@gmail.com,1,Small house,Thiruvananthapuram,0,16,Plastic bottle,7+,Always,less_250g,community,daily,0,none,recycle,0,3,1
user1179@gmail.com,6+,Large house,Pathanamthitta,5,16,Loose / refill,1-3,Always,more_1kg,community,no,4,none,trash,3,3,1
user1199@gmail.com,6+,Apartment,Kannur,6,9,Loose / refill,7+,Sometimes,more_1kg,biomethanation,monthly,4,none,recycle,3,3,1
user1212@gmail.com,6+,Small house,Wayanad,6,5,Loose / refill,,Sometimes,more_1kg,biomethanation,daily,4,none,sell,3,3,1
user1215@gmail.com,1,Small house,Malappuram,0,18,Plastic bottle,4-7,Never,less_250g,biomethanation,daily,3,none,trash,0,3,1
user1253@gmail.com,1,Small house,Pathanamthitta,0,20,Plastic packet,7+,Always,less_250g,biomethanation,weekly,4,1-2,recycle,0,0,1
user1256@gmail.com,6+,Apartment,Thiruvananthapuram,6,16,Loose / refill,,Sometimes,more_1kg,community,daily,3,none,store,3,3,1
user1259@gmail.com,1,Small house,Thiruvananthapuram,0,19,Loose / refill,4-7,Sometimes,less_250g,collector,daily,4,6+,sell,0,2,1
user1285@gmail.com,6+,Apartment,Alappuzha,6,10,Plastic bottle,4-7,Always,more_1kg,community,monthly,2,none,store,3,3,1
user1314@gmail.com,6+,Small house,Kozhikode,5,20,Plastic bottle,4-7,Always,more_1kg,community,no,3,1-2,recycle,3,0,1
user1341@gmail.com,1,Apartment,Kozhikode,0,5,Plastic bottle,4-7,Never,less_250g,mixed,daily,4,none,store,0,3,1
user1353@gmail.com,6+,Apartment,Palakkad,6,13,Plastic bottle,4-7,Sometimes,more_1kg,biomethanation,daily,2,none,sell,3,3,1
user1365@gmail.com,1,Small house,Kottayam,0,2,Plastic bottle,,Sometimes,less_250g,worm_compost,monthly,2,3-5,trash,0,1,1
user1368@gmail.com,1,Large house,Ernakulam,0,4,Plastic bottle,,Always,less_250g,mixed,weekly,3,none,trash,0,3,1
user1384@gmail.com,1,Apartment,Malappuram,0,12,Loose / refill,7+,Sometimes,less_250g,worm_compost,weekly,0,none,recycle,0,3,1
user1393@gmail.com,6+,Apartment,Kottayam,5,20,Plastic bottle,,Never,more_1kg,biomethanation,weekly,4,6+,trash,3,2,1
user1403@gmail.com,1,Small house,Thiruvananthapuram,0,14,Loose / refill,7+,Sometimes,less_250g,mixed,weekly,4,none,trash,0,3,1
user1430@gmail.com,6+,Apartment,Kannur,6,9,Plastic packet,4-7,Always,more_1kg,community,no,4,1-2,store,3,0,1
user1435@gmail.com,1,Large house,Thiruvananthapuram,0,10,Loose / refill,4-7,Never,less_250g,biomethanation,weekly,2,none,recycle,0,3,1
user1440@gmail.com,1,Apartment,Alappuzha,0,15,Plastic packet,7+,Never,less_250g,collector,daily,3,none,sell,0,3,1
user1445@gmail.com,1,Apartment,Alappuzha,1,18,Loose / refill,1-3,Never,less_250g,community,no,4,none,store,0,3,1
user1464@gmail.com,1,Apartment,Ernakulam,0,11,Plastic packet,7+,Sometimes,less_250g,biomethanation,monthly,4,1-2,recycle,0,0,1
user1480@gmail.com,6+,Apartment,Malappuram,5,2,Plastic bottle,7+,Never,more_1kg,home_compost,monthly,1,none,recycle,3,3,1
user1481@gmail.com,1,Large house,Malappuram,0,16,Loose / refill,1-3,Sometimes,less_250g,community,weekly,1,none,recycle,0,3,1
user1513@gmail.com,6+,Large house,Kasaragod,5,5,Loose / refill,4-7,Never,more_1kg,mixed,daily,4,6+,store,3,2,1
user1514@gmail.com,6+,Apartment,Kannur,6,10,Loose / refill,1-3,Never,more_1kg,biomethanation,no,4,6+,store,3,2,1
user1531@gmail.com,1,Large house,Malappuram,0,15,Plastic packet,4-7,Sometimes,less_250g,collector,monthly,2,none,recycle,0,3,1
user1533@gmail.com,1,Apartment,Ernakulam,0,17,Plastic bottle,,Always,less_250g,community,weekly,4,1-2,trash,0,0,1
user1561@gmail.com,6+,Large house,Thrissur,6,7,Plastic bottle,,Always,more_1kg,biomethanation,weekly,4,6+,sell,3,2,1
user1578@gmail.com,1,Small house,Thrissur,0,12,Plastic packet,4-7,Always,less_250g,collector,weekly,2,none,sell,0,3,1
user1592@gmail.com,6+,Small house,Ernakulam,6,17,Loose / refill,7+,Sometimes,more_1kg,biomethanation,monthly,3,1-2,sell,3,0,1
user1631@gmail.com,1,Small house,Kasaragod,0,19,Plastic packet,,Never,less_250g,home_compost,weekly,4,none,sell,0,3,1
user1636@gmail.com,1,Large house,Ernakulam,0,2,Plastic packet,,Sometimes,less_250g,home_compost,no,2,1-2,sell,0,0,1
user1639@gmail.com,6+,Small house,Thrissur,6,5,Loose / refill,4-7,Always,more_1kg,home_compost,monthly,4,6+,trash,3,2,1
user1677@gmail.com,1,Apartment,Palakkad,0,3,Plastic packet,4-7,Never,less_250g,worm_compost,daily,4,6+,store,0,2,1
user1700@gmail.com,6+,Large house,Pathanamthitta,5,7,Loose / refill,,Sometimes,more_1kg,collector,daily,4,none,store,3,3,1
user1738@gmail.com,6+,Apartment,Ernakulam,6,20,Plastic bottle,7+,Never,more_1kg,worm_compost,daily,1,3-5,store,3,1,1
user1749@gmail.com,6+,Apartment,Alappuzha,6,13,Plastic packet,7+,Never,more_1kg,biomethanation,daily,3,none,sell,3,3,1
user1750@gmail.com,6+,Apartment,Ernakulam,6,20,Loose / refill,1-3,Always,more_1kg,home_compost,daily,4,none,store,3,3,1
user1759@gmail.com,1,Apartment,Malappuram,1,2,Plastic bottle,1-3,Always,less_250g,collector,monthly,1,none,store,0,3,1
user1769@gmail.com,6+,Large house,Thrissur,6,20,Plastic packet,7+,Never,more_1kg,collector,daily,3,1-2,recycle,3,0,1
user1834@gmail.com,6+,Small house,Palakkad,6,4,Plastic bottle,4-7,Always,more_1kg,community,monthly,4,6+,store,3,2,1
user1877@gmail.com,1,Apartment,Kasaragod,0,17,Loose / refill,,Always,less_250g,biomethanation,no,4,6+,recycle,0,2,1
user1908@gmail.com,6+,Small house,Alappuzha,4,2,Loose / refill,,Never,more_1kg,collector,daily,4,none,sell,3,3,1
user1917@gmail.com,1,Large house,Malappuram,0,2,Plastic packet,1-3,Always,less_250g,collector,no,0,3-5,sell,0,1,1
user1937@gmail.com,1,Small house,Kollam,0,9,Plastic packet,7+,Always,less_250g,biomethanation,monthly,4,1-2,store,0,0,1
user1970@gmail.com,1,Apartment,Thiruvananthapuram,0,2,Loose / refill,1-3,Always,less_250g,collector,weekly,3,1-2,sell,0,0,1
user1989@gmail.com,1,Small house,Kasaragod,0,12,Loose / refill,,Sometimes,less_250g,biomethanation,monthly,2,none,sell,0,3,1
