id,user_email,old_devices,batteries,disposal_method
51,user46@gmail.com,0,3-5,recycle
52,user47@gmail.com,1,none,store
53,user48@gmail.com,0,6+,trash
54,user49@gmail.com,4,6+,sell
55,user50@gmail.com,1,3-5,store
56,user51@gmail.com,3,none,sell
57,user52@gmail.com,2,none,store
58,user53@gmail.com,2,3-5,sell
59,user54@gmail.com,1,1-2,recycle
60,user55@gmail.com,1,1-2,trash
61,user56@gmail.com,4,1-2,sell
62,user57@gmail.com,0,none,sell
63,user58@gmail.com,3,3-5,store
64,user59@gmail.com,2,none,sell
65,user60@gmail.com,1,3-5,store
66,user61@gmail.com,0,3-5,recycle
67,user62@gmail.com,0,3-5,sell
68,user63@gmail.com,2,3-5,store
69,user64@gmail.com,3,3-5,trash
70,user65@gmail.com,1,none,trash
71,user66@gmail.com,1,none,store
72,user67@gmail.com,1,3-5,sell
73,user68@gmail.com,0,3-5,sell
74,user69@gmail.com,4,none,trash
75,user70@gmail.com,0,none,sell
76,user71@gmail.com,2,none,trash
77,user72@gmail.com,1,3-5,trash
78,user73@gmail.com,4,6+,sell
79,user74@gmail.com,4,none,trash
80,user75@gmail.com,3,1-2,sell
81,user76@gmail.com,3,none,store
82,user77@gmail.com,2,1-2,sell
83,user78@gmail.com,2,none,sell
84,user79@gmail.com,3,3-5,store
85,user80@gmail.com,4,6+,store
86,user81@gmail.com,0,none,recycle
87,user82@gmail.com,4,1-2,recycle
88,user83@gmail.com,0,none,trash
89,user84@gmail.com,1,1-2,sell
90,user85@gmail.com,2,none,sell
91,user86@gmail.com,3,none,recycle
92,user87@gmail.com,3,none,sell
93,user88@gmail.com,1,6+,sell
94,user89@gmail.com,3,3-5,trash
95,user90@gmail.com,3,6+,sell
96,user91@gmail.com,3,6+,store
97,user92@gmail.com,2,3-5,trash
98,user93@gmail.com,3,6+,recycle
99,user94@gmail.com,2,3-5,trash
100,user95@gmail.com,2,1-2,recycle
101,user96@gmail.com,2,6+,trash
102,user97@gmail.com,1,3-5,sell
103,user98@gmail.com,1,6+,store
104,user99@gmail.com,3,1-2,recycle
105,user100@gmail.com,4,none,recycle
106,user101@gmail.com,0,6+,store
107,user102@gmail.com,2,1-2,store
108,user103@gmail.com,2,none,recycle
109,user104@gmail.com,0,none,store
110,user105@gmail.com,3,none,sell
111,user106@gmail.com,1,3-5,sell
112,user107@gmail.com,1,1-2,recycle
113,user108@gmail.com,4,1-2,recycle
114,user109@gmail.com,3,none,trash
115,user110@gmail.com,0,3-5,sell
116,user111@gmail.com,2,6+,recycle
117,user112@gmail.com,3,none,store
118,user113@gmail.com,4,none,sell
119,user114@gmail.com,1,1-2,store
120,user115@gmail.com,3,none,recycle
121,user116@gmail.com,3,1-2,recycle
122,user117@gmail.com,4,1-2,trash
123,user118@gmail.com,2,none,trash
124,user119@gmail.com,2,3-5,sell
125,user120@gmail.com,0,6+,sell
126,user121@gmail.com,2,none,recycle
127,user122@gmail.com,3,1-2,trash
128,user123@gmail.com,2,3-5,sell
129,user124@gmail.com,4,none,store
130,user125@gmail.com,3,6+,store
131,user126@gmail.com,2,3-5,trash
132,user127@gmail.com,2,none,store
133,user128@gmail.com,3,6+,sell
134,user129@gmail.com,4,6+,sell
135,user130@gmail.com,1,3-5,recycle
136,user131@gmail.com,0,3-5,sell
137,user132@gmail.com,0,none,recycle
138,user133@gmail.com,3,6+,recycle
139,user134@gmail.com,3,3-5,trash
140,user135@gmail.com,1,1-2,sell
141,user136@gmail.com,1,6+,trash
142,user137@gmail.com,1,6+,trash
143,user138@gmail.com,3,none,trash
144,user139@gmail.com,3,3-5,store
145,user140@gmail.com,2,none,recycle
146,user141@gmail.com,3,3-5,store
147,user142@gmail.com,4,none,store
148,user143@gmail.com,4,none,trash
149,user144@gmail.com,0,none,store
150,user145@gmail.com,4,1-2,trash
151,user146@gmail.com,4,1-2,recycle
152,user147@gmail.com,3,1-2,trash
153,user148@gmail.com,2,1-2,store
154,user149@gmail.com,0,none,recycle
155,user150@gmail.com,4,1-2,trash
156,user151@gmail.com,4,6+,trash
157,user152@gmail.com,2,6+,trash
158,user153@gmail.com,3,6+,recycle
159,user154@gmail.com,3,none,store
160,user155@gmail.com,3,6+,trash
161,user156@gmail.com,3,6+,recycle
162,user157@gmail.com,2,1-2,sell
163,user158@gmail.com,0,3-5,store
164,user159@gmail.com,3,1-2,trash
165,user160@gmail.com,3,1-2,trash
166,user161@gmail.com,2,1-2,trash
167,user162@gmail.com,2,6+,recycle
168,user163@gmail.com,4,3-5,sell
169,user164@gmail.com,1,3-5,sell
170,user165@gmail.com,0,6+,store
171,user166@gmail.com,4,3-5,sell
172,user167@gmail.com,2,none,sell
173,user168@gmail.com,4,none,trash
174,user169@gmail.com,1,3-5,recycle
175,user170@gmail.com,3,3-5,store
176,user171@gmail.com,0,none,recycle
177,user172@gmail.com,2,6+,trash
178,user173@gmail.com,3,1-2,recycle
179,user174@gmail.com,1,3-5,trash
180,user175@gmail.com,1,1-2,store
181,user176@gmail.com,0,6+,recycle
182,user177@gmail.com,3,6+,trash
183,user178@gmail.com,1,6+,recycle
184,user179@gmail.com,3,none,trash
185,user180@gmail.com,3,none,sell
186,user181@gmail.com,4,6+,store
187,user182@gmail.com,4,none,sell
188,user183@gmail.com,3,3-5,recycle
189,user184@gmail.com,0,3-5,recycle
190,user185@gmail.com,1,none,store
191,user186@gmail.com,4,3-5,recycle
192,user187@gmail.com,2,1-2,recycle
193,user188@gmail.com,3,6+,recycle
194,user189@gmail.com,3,1-2,sell
195,user190@gmail.com,4,3-5,store
196,user191@gmail.com,1,1-2,trash
197,user192@gmail.com,4,none,trash
198,user193@gmail.com,3,1-2,sell
199,user194@gmail.com,2,none,sell
200,user195@gmail.com,4,6+,trash
201,user196@gmail.com,1,1-2,trash
202,user197@gmail.com,0,6+,trash
203,user198@gmail.com,2,1-2,store
204,user199@gmail.com,4,1-2,recycle
205,user200@gmail.com,2,none,store
206,user201@gmail.com,0,6+,trash
207,user202@gmail.com,2,1-2,trash
208,user203@gmail.com,0,3-5,sell
209,user204@gmail.com,0,none,sell
210,user205@gmail.com,0,6+,trash
211,user206@gmail.com,2,none,sell
212,user207@gmail.com,3,6+,store
213,user208@gmail.com,0,6+,recycle
214,user209@gmail.com,4,none,sell
215,user210@gmail.com,4,3-5,trash
216,user211@gmail.com,2,none,recycle
217,user212@gmail.com,3,6+,recycle
218,user213@gmail.com,3,1-2,store
219,user214@gmail.com,3,3-5,store
220,user215@gmail.com,2,3-5,trash
221,user216@gmail.com,1,6+,recycle
222,user217@gmail.com,0,3-5,recycle
223,user218@gmail.com,2,1-2,store
224,user219@gmail.com,0,none,trash
225,user220@gmail.com,0,3-5,recycle
226,user221@gmail.com,1,3-5,trash
227,user222@gmail.com,2,1-2,sell
228,user223@gmail.com,4,none,store
229,user224@gmail.com,1,none,sell
230,user225@gmail.com,0,1-2,sell
231,user226@gmail.com,4,1-2,recycle
232,user227@gmail.com,0,6+,trash
233,user228@gmail.com,2,none,trash
234,user229@gmail.com,0,none,trash
235,user230@gmail.com,0,3-5,trash
236,user231@gmail.com,3,6+,trash
237,user232@gmail.com,4,3-5,trash
238,user233@gmail.com,0,none,recycle
239,user234@gmail.com,1,6+,recycle
240,user235@gmail.com,3,3-5,store
241,user236@gmail.com,1,6+,store
242,user237@gmail.com,3,3-5,recycle
243,user238@gmail.com,4,6+,store
244,user239@gmail.com,2,6+,sell
245,user240@gmail.com,2,1-2,recycle
246,user241@gmail.com,4,none,recycle
247,user242@gmail.com,3,none,sell
248,user243@gmail.com,3,1-2,sell
249,user244@gmail.com,4,6+,trash
250,user245@gmail.com,2,3-5,store
251,user246@gmail.com,1,1-2,sell
252,user247@gmail.com,4,1-2,trash
253,user248@gmail.com,3,1-2,recycle
254,user249@gmail.com,3,6+,sell
255,user250@gmail.com,4,none,store
256,user251@gmail.com,0,3-5,sell
257,user252@gmail.com,4,6+,trash
258,user253@gmail.com,2,6+,store
259,user254@gmail.com,4,6+,store
260,user255@gmail.com,4,3-5,recycle
261,user256@gmail.com,0,6+,recycle
262,user257@gmail.com,3,6+,sell
263,user258@gmail.com,3,none,store
264,user259@gmail.com,0,1-2,store
265,user260@gmail.com,4,none,sell
266,user261@gmail.com,2,3-5,sell
267,user262@gmail.com,1,1-2,recycle
268,user263@gmail.com,2,6+,trash
269,user264@gmail.com,3,3-5,trash
270,user265@gmail.com,0,6+,store
271,user266@gmail.com,2,none,recycle
272,user267@gmail.com,4,3-5,store
273,user268@gmail.com,2,none,recycle
274,user269@gmail.com,3,1-2,store
275,user270@gmail.com,0,3-5,sell
276,user271@gmail.com,0,3-5,recycle
277,user272@gmail.com,1,6+,sell
278,user273@gmail.com,2,1-2,trash
279,user274@gmail.com,2,none,trash
280,user275@gmail.com,2,3-5,sell
281,user276@gmail.com,3,none,store
282,user277@gmail.com,3,6+,recycle
283,user278@gmail.com,2,6+,trash
284,user279@gmail.com,0,none,recycle
285,user280@gmail.com,4,3-5,trash
286,user281@gmail.com,2,none,sell
287,user282@gmail.com,3,none,trash
288,user283@gmail.com,3,6+,trash
289,user284@gmail.com,3,6+,trash
290,user285@gmail.com,1,1-2,store
291,user286@gmail.com,0,none,store
292,user287@gmail.com,4,none,store
293,user288@gmail.com,2,none,sell
294,user289@gmail.com,3,1-2,store
295,user290@gmail.com,1,none,sell
296,user291@gmail.com,4,6+,recycle
297,user292@gmail.com,1,6+,sell
298,user293@gmail.com,4,1-2,recycle
299,user294@gmail.com,4,3-5,store
300,user295@gmail.com,0,1-2,sell
301,user296@gmail.com,3,1-2,trash
302,user297@gmail.com,3,6+,trash
303,user298@gmail.com,4,3-5,trash
304,user299@gmail.com,4,1-2,sell
305,user300@gmail.com,4,1-2,sell
306,user301@gmail.com,0,3-5,trash
307,user302@gmail.com,2,1-2,sell
308,user303@gmail.com,4,3-5,recycle
309,user304@gmail.com,3,3-5,store
310,user305@gmail.com,2,none,trash
311,user306@gmail.com,2,1-2,store
312,user307@gmail.com,4,6+,trash
313,user308@gmail.com,3,none,recycle
314,user309@gmail.com,3,none,trash
315,user310@gmail.com,4,6+,store
316,user311@gmail.com,1,3-5,trash
317,user312@gmail.com,0,none,trash
318,user313@gmail.com,0,3-5,trash
319,user314@gmail.com,0,3-5,sell
320,user315@gmail.com,0,none,recycle
321,user316@gmail.com,3,3-5,sell
322,user317@gmail.com,2,6+,store
323,user318@gmail.com,0,none,recycle
324,user319@gmail.com,4,none,store
325,user320@gmail.com,2,3-5,recycle
326,user321@gmail.com,2,6+,trash
327,user322@gmail.com,1,none,store
328,user323@gmail.com,4,6+,trash
329,user324@gmail.com,2,none,store
330,user325@gmail.com,3,1-2,recycle
331,user326@gmail.com,3,1-2,sell
332,user327@gmail.com,0,1-2,sell
333,user328@gmail.com,1,1-2,sell
334,user329@gmail.com,2,6+,sell
335,user330@gmail.com,3,3-5,recycle
336,user331@gmail.com,4,3-5,trash
337,user332@gmail.com,2,3-5,recycle
338,user333@gmail.com,1,6+,store
339,user334@gmail.com,4,1-2,recycle
340,user335@gmail.com,4,6+,trash
341,user336@gmail.com,3,3-5,trash
342,user337@gmail.com,1,6+,trash
343,user338@gmail.com,2,3-5,trash
344,user339@gmail.com,1,1-2,recycle
345,user340@gmail.com,4,1-2,store
346,user341@gmail.com,3,none,trash
347,user342@gmail.com,0,3-5,store
348,user343@gmail.com,3,none,trash
349,user344@gmail.com,0,6+,store
350,user345@gmail.com,1,3-5,recycle
351,user346@gmail.com,2,none,recycle
352,user347@gmail.com,4,6+,sell
353,user348@gmail.com,4,none,recycle
354,user349@gmail.com,3,3-5,trash
355,user350@gmail.com,1,6+,sell
356,user351@gmail.com,0,3-5,trash
357,user352@gmail.com,3,none,sell
358,user353@gmail.com,3,none,recycle
359,user354@gmail.com,3,1-2,sell
360,user355@gmail.com,3,6+,store
361,user356@gmail.com,0,none,sell
362,user357@gmail.com,0,none,recycle
363,user358@gmail.com,1,3-5,trash
364,user359@gmail.com,3,3-5,recycle
365,user360@gmail.com,2,6+,recycle
366,user361@gmail.com,4,none,store
367,user362@gmail.com,4,none,trash
368,user363@gmail.com,3,3-5,trash
369,user364@gmail.com,4,3-5,recycle
370,user365@gmail.com,4,3-5,recycle
371,user366@gmail.com,3,6+,trash
372,user367@gmail.com,1,1-2,sell
373,user368@gmail.com,0,6+,store
374,user369@gmail.com,2,none,store
375,user370@gmail.com,4,3-5,sell
376,user371@gmail.com,4,none,recycle
377,user372@gmail.com,2,1-2,trash
378,user373@gmail.com,4,3-5,trash
379,user374@gmail.com,0,none,recycle
380,user375@gmail.com,2,1-2,trash
381,user376@gmail.com,3,3-5,recycle
382,user377@gmail.com,3,none,sell
383,user378@gmail.com,2,1-2,trash
384,user379@gmail.com,4,3-5,store
385,user380@gmail.com,1,3-5,store
386,user381@gmail.com,2,1-2,sell
387,user382@gmail.com,4,1-2,sell
388,user383@gmail.com,2,1-2,trash
389,user384@gmail.com,4,none,recycle
390,user385@gmail.com,4,3-5,recycle
391,user386@gmail.com,2,6+,recycle
392,user387@gmail.com,1,3-5,trash
393,user388@gmail.com,3,none,store
394,user389@gmail.com,4,3-5,sell
395,user390@gmail.com,1,6+,store
396,user391@gmail.com,2,1-2,recycle
397,user392@gmail.com,1,3-5,recycle
398,user393@gmail.com,0,1-2,recycle
399,user394@gmail.com,4,1-2,sell
400,user395@gmail.com,4,3-5,store
401,user396@gmail.com,2,3-5,store
402,user397@gmail.com,0,none,sell
403,user398@gmail.com,2,1-2,recycle
404,user399@gmail.com,2,none,store
405,user400@gmail.com,1,3-5,trash
406,user401@gmail.com,0,1-2,trash
407,user402@gmail.com,3,3-5,trash
408,user403@gmail.com,0,none,sell
409,user404@gmail.com,2,none,store
410,user405@gmail.com,1,1-2,sell
411,user406@gmail.com,3,1-2,sell
412,user407@gmail.com,4,6+,store
413,user408@gmail.com,4,none,recycle
414,user409@gmail.com,4,none,store
415,user410@gmail.com,4,none,store
416,user411@gmail.com,0,6+,store
417,user412@gmail.com,3,none,trash
418,user413@gmail.com,1,none,trash
419,user414@gmail.com,0,6+,recycle
420,user415@gmail.com,4,6+,trash
421,user416@gmail.com,4,none,recycle
422,user417@gmail.com,2,none,sell
423,user418@gmail.com,3,6+,sell
424,user419@gmail.com,4,6+,recycle
425,user420@gmail.com,4,none,store
426,user421@gmail.com,0,1-2,sell
427,user422@gmail.com,3,6+,recycle
428,user423@gmail.com,4,1-2,store
429,user424@gmail.com,3,1-2,sell
430,user425@gmail.com,2,3-5,sell
431,user426@gmail.com,0,1-2,trash
432,user427@gmail.com,1,none,trash
433,user428@gmail.com,1,3-5,store
434,user429@gmail.com,4,6+,recycle
435,user430@gmail.com,0,none,store
436,user431@gmail.com,1,3-5,sell
437,user432@gmail.com,4,3-5,sell
438,user433@gmail.com,2,1-2,store
439,user434@gmail.com,4,1-2,recycle
440,user435@gmail.com,3,3-5,store
441,user436@gmail.com,4,3-5,trash
442,user437@gmail.com,1,3-5,store
443,user438@gmail.com,0,3-5,trash
444,user439@gmail.com,1,none,trash
445,user440@gmail.com,0,3-5,trash
446,user441@gmail.com,1,none,trash
447,user442@gmail.com,1,1-2,sell
448,user443@gmail.com,4,6+,sell
449,user444@gmail.com,0,none,sell
450,user445@gmail.com,3,none,store
451,user446@gmail.com,2,1-2,sell
452,user447@gmail.com,1,6+,recycle
453,user448@gmail.com,2,none,recycle
454,user449@gmail.com,2,6+,sell
455,user450@gmail.com,3,3-5,store
456,user451@gmail.com,1,6+,sell
457,user452@gmail.com,0,1-2,trash
458,user453@gmail.com,0,none,store
459,user454@gmail.com,0,6+,store
460,user455@gmail.com,2,3-5,recycle
461,user456@gmail.com,0,6+,trash
462,user457@gmail.com,4,1-2,trash
463,user458@gmail.com,0,3-5,store
464,user459@gmail.com,3,none,store
465,user460@gmail.com,4,3-5,trash
466,user461@gmail.com,3,none,sell
467,user462@gmail.com,0,1-2,sell
468,user463@gmail.com,3,1-2,recycle
469,user464@gmail.com,2,6+,store
470,user465@gmail.com,0,none,sell
471,user466@gmail.com,1,1-2,recycle
472,user467@gmail.com,1,6+,sell
473,user468@gmail.com,1,1-2,sell
474,user469@gmail.com,2,3-5,sell
475,user470@gmail.com,0,none,trash
476,user471@gmail.com,1,6+,sell
477,user472@gmail.com,4,none,trash
478,user473@gmail.com,1,1-2,sell
479,user474@gmail.com,3,1-2,trash
480,user475@gmail.com,1,1-2,trash
481,user476@gmail.com,1,none,recycle
482,user477@gmail.com,1,1-2,sell
483,user478@gmail.com,1,6+,trash
484,user479@gmail.com,1,1-2,trash
485,user480@gmail.com,4,6+,recycle
486,user481@gmail.com,0,6+,sell
487,user482@gmail.com,2,none,trash
488,user483@gmail.com,0,1-2,recycle
489,user484@gmail.com,2,3-5,sell
490,user485@gmail.com,1,6+,store
491,user486@gmail.com,3,3-5,sell
492,user487@gmail.com,1,3-5,sell
493,user488@gmail.com,0,3-5,recycle
494,user489@gmail.com,4,6+,store
495,user490@gmail.com,2,1-2,store
496,user491@gmail.com,3,1-2,trash
497,user492@gmail.com,1,none,recycle
498,user493@gmail.com,1,6+,sell
499,user494@gmail.com,3,3-5,sell
500,user495@gmail.com,2,none,store
501,user496@gmail.com,2,none,sell
502,user497@gmail.com,0,1-2,trash
503,user498@gmail.com,3,none,store
504,user499@gmail.com,1,3-5,store
505,user500@gmail.com,4,none,recycle
506,user1@gmail.com,2,6+,recycle
507,user2@gmail.com,0,6+,recycle
508,user3@gmail.com,2,3-5,store
509,user4@gmail.com,3,3-5,sell
510,user5@gmail.com,0,3-5,recycle
511,user6@gmail.com,0,3-5,sell
512,user7@gmail.com,2,6+,store
513,user8@gmail.com,1,3-5,trash
514,user9@gmail.com,1,3-5,recycle
515,user10@gmail.com,2,1-2,store
516,user11@gmail.com,2,none,store
517,user12@gmail.com,4,1-2,recycle
518,user13@gmail.com,0,1-2,sell
519,user14@gmail.com,4,1-2,sell
520,user15@gmail.com,2,3-5,trash
521,user16@gmail.com,1,1-2,recycle
522,user17@gmail.com,3,6+,store
523,user18@gmail.com,3,6+,store
524,user19@gmail.com,4,3-5,trash
525,user20@gmail.com,2,3-5,trash
526,user21@gmail.com,3,3-5,trash
527,user22@gmail.com,4,6+,recycle
528,user23@gmail.com,4,1-2,trash
529,user24@gmail.com,1,6+,sell
530,user25@gmail.com,3,1-2,trash
531,user26@gmail.com,1,none,trash
532,user27@gmail.com,0,3-5,recycle
533,user28@gmail.com,1,1-2,sell
534,user29@gmail.com,0,3-5,trash
535,user30@gmail.com,4,6+,store
536,user31@gmail.com,2,3-5,recycle
537,user32@gmail.com,4,6+,store
538,user33@gmail.com,0,none,trash
539,user34@gmail.com,4,1-2,trash
540,user35@gmail.com,1,none,sell
541,user36@gmail.com,4,none,store
542,user37@gmail.com,2,none,sell
543,user38@gmail.com,1,6+,trash
544,user39@gmail.com,4,3-5,recycle
545,user40@gmail.com,2,none,store
546,user41@gmail.com,2,6+,recycle
547,user42@gmail.com,1,1-2,recycle
548,user43@gmail.com,1,6+,sell
549,user44@gmail.com,2,none,recycle
550,user45@gmail.com,4,3-5,trash
551,user46@gmail.com,4,1-2,sell
552,user47@gmail.com,3,6+,store
553,user48@gmail.com,1,6+,sell
554,user49@gmail.com,4,1-2,sell
555,user50@gmail.com,2,6+,trash
556,user51@gmail.com,2,6+,trash
557,user52@gmail.com,1,3-5,sell
558,user53@gmail.com,2,1-2,trash
559,user54@gmail.com,1,none,sell
560,user55@gmail.com,2,1-2,trash
561,user56@gmail.com,2,3-5,trash
562,user57@gmail.com,0,6+,trash
563,user58@gmail.com,2,1-2,recycle
564,user59@gmail.com,3,3-5,trash
565,user60@gmail.com,0,6+,trash
566,user61@gmail.com,2,3-5,trash
567,user62@gmail.com,3,none,trash
568,user63@gmail.com,3,6+,store
569,user64@gmail.com,4,1-2,store
570,user65@gmail.com,4,none,recycle
571,user66@gmail.com,2,3-5,store
572,user67@gmail.com,1,none,store
573,user68@gmail.com,2,1-2,store
574,user69@gmail.com,4,none,sell
575,user70@gmail.com,2,1-2,trash
576,user71@gmail.com,4,1-2,trash
577,user72@gmail.com,3,1-2,sell
578,user73@gmail.com,0,1-2,store
579,user74@gmail.com,0,1-2,sell
580,user75@gmail.com,1,none,recycle
581,user76@gmail.com,1,6+,trash
582,user77@gmail.com,1,1-2,recycle
583,user78@gmail.com,1,3-5,recycle
584,user79@gmail.com,1,1-2,recycle
585,user80@gmail.com,4,6+,store
586,user81@gmail.com,1,1-2,recycle
587,user82@gmail.com,1,1-2,sell
588,user83@gmail.com,0,3-5,store
589,user84@gmail.com,1,6+,sell
590,user85@gmail.com,3,1-2,recycle
591,user86@gmail.com,1,3-5,trash
592,user87@gmail.com,0,3-5,trash
593,user88@gmail.com,1,6+,store
594,user89@gmail.com,0,6+,recycle
595,user90@gmail.com,0,1-2,sell
596,user91@gmail.com,3,1-2,store
597,user92@gmail.com,2,6+,trash
598,user93@gmail.com,2,3-5,store
599,user94@gmail.com,4,1-2,trash
600,user95@gmail.com,4,1-2,store
601,user96@gmail.com,3,1-2,trash
602,user97@gmail.com,4,1-2,recycle
603,user98@gmail.com,3,1-2,recycle
604,user99@gmail.com,2,none,sell
605,user100@gmail.com,2,3-5,store
606,user101@gmail.com,2,3-5,store
607,user102@gmail.com,2,3-5,sell
608,user103@gmail.com,0,none,recycle
609,user104@gmail.com,1,6+,recycle
610,user105@gmail.com,2,6+,trash
611,user106@gmail.com,1,1-2,trash
612,user107@gmail.com,3,3-5,store
613,user108@gmail.com,4,3-5,store
614,user109@gmail.com,1,6+,store
615,user110@gmail.com,2,3-5,sell
616,user111@gmail.com,4,none,store
617,user112@gmail.com,0,6+,trash
618,user113@gmail.com,3,3-5,sell
619,user114@gmail.com,3,6+,trash
620,user115@gmail.com,4,1-2,trash
621,user116@gmail.com,3,1-2,sell
622,user117@gmail.com,3,none,recycle
623,user118@gmail.com,0,3-5,recycle
624,user119@gmail.com,1,none,trash
625,user120@gmail.com,3,none,sell
626,user121@gmail.com,4,1-2,recycle
627,user122@gmail.com,2,none,sell
628,user123@gmail.com,1,6+,store
629,user124@gmail.com,3,3-5,trash
630,user125@gmail.com,0,1-2,sell
631,user126@gmail.com,2,none,store
632,user127@gmail.com,3,3-5,trash
633,user128@gmail.com,4,none,sell
634,user129@gmail.com,0,6+,recycle
635,user130@gmail.com,1,3-5,trash
636,user131@gmail.com,4,1-2,trash
637,user132@gmail.com,2,6+,store
638,user133@gmail.com,0,6+,recycle
639,user134@gmail.com,3,none,recycle
640,user135@gmail.com,4,1-2,trash
641,user136@gmail.com,2,6+,trash
642,user137@gmail.com,0,3-5,sell
643,user138@gmail.com,0,none,sell
644,user139@gmail.com,1,none,trash
645,user140@gmail.com,4,6+,sell
646,user141@gmail.com,2,1-2,recycle
647,user142@gmail.com,3,3-5,sell
648,user143@gmail.com,2,none,store
649,user144@gmail.com,3,1-2,trash
650,user145@gmail.com,4,1-2,sell
651,user146@gmail.com,4,none,trash
652,user147@gmail.com,0,none,store
653,user148@gmail.com,2,3-5,recycle
654,user149@gmail.com,2,none,store
655,user150@gmail.com,2,1-2,trash
656,user151@gmail.com,3,none,store
657,user152@gmail.com,1,6+,store
658,user153@gmail.com,4,6+,trash
659,user154@gmail.com,2,3-5,sell
660,user155@gmail.com,0,3-5,sell
661,user156@gmail.com,3,6+,recycle
662,user157@gmail.com,4,3-5,store
663,user158@gmail.com,4,3-5,recycle
664,user159@gmail.com,2,none,trash
665,user160@gmail.com,2,none,recycle
666,user161@gmail.com,1,none,sell
667,user162@gmail.com,4,3-5,recycle
668,user163@gmail.com,4,3-5,trash
669,user164@gmail.com,3,3-5,recycle
670,user165@gmail.com,3,3-5,store
671,user166@gmail.com,3,none,sell
672,user167@gmail.com,3,none,trash
673,user168@gmail.com,1,3-5,recycle
674,user169@gmail.com,2,3-5,trash
675,user170@gmail.com,1,6+,sell
676,user171@gmail.com,2,1-2,sell
677,user172@gmail.com,0,none,sell
678,user173@gmail.com,4,3-5,trash
679,user174@gmail.com,0,1-2,trash
680,user175@gmail.com,1,1-2,sell
681,user176@gmail.com,1,1-2,recycle
682,user177@gmail.com,2,1-2,store
683,user178@gmail.com,4,none,store
684,user179@gmail.com,4,6+,recycle
685,user180@gmail.com,1,3-5,trash
686,user181@gmail.com,2,1-2,trash
687,user182@gmail.com,4,1-2,recycle
688,user183@gmail.com,2,1-2,recycle
689,user184@gmail.com,2,1-2,store
690,user185@gmail.com,3,6+,sell
691,user186@gmail.com,0,1-2,trash
692,user187@gmail.com,0,1-2,store
693,user188@gmail.com,0,3-5,sell
694,user189@gmail.com,3,3-5,store
695,user190@gmail.com,2,3-5,recycle
696,user191@gmail.com,2,none,recycle
697,user192@gmail.com,1,none,recycle
698,user193@gmail.com,1,none,trash
699,user194@gmail.com,1,3-5,recycle
700,user195@gmail.com,1,1-2,trash
701,user196@gmail.com,1,none,recycle
702,user197@gmail.com,1,6+,store
703,user198@gmail.com,4,none,store
704,user199@gmail.com,3,3-5,sell
705,user200@gmail.com,4,3-5,sell
706,user201@gmail.com,4,none,sell
707,user202@gmail.com,0,6+,recycle
708,user203@gmail.com,0,none,trash
709,user204@gmail.com,4,6+,recycle
710,user205@gmail.com,0,6+,store
711,user206@gmail.com,2,3-5,trash
712,user207@gmail.com,1,1-2,recycle
713,user208@gmail.com,1,6+,trash
714,user209@gmail.com,2,6+,trash
715,user210@gmail.com,0,3-5,sell
716,user211@gmail.com,4,3-5,store
717,user212@gmail.com,0,none,sell
718,user213@gmail.com,1,1-2,recycle
719,user214@gmail.com,2,6+,sell
720,user215@gmail.com,3,3-5,recycle
721,user216@gmail.com,0,none,trash
722,user217@gmail.com,4,6+,store
